Gene name (systematic),Gene name (standard),ref,Class,M (Beyer)1,L (in codon),alpha_phys,J_phys,rho_phys,Jmax,rho_max
YAR053W,,102,abrupt,"0,15",99,"0,32063","0,18257","0,04130","0,26204","0,09037"
YAR060C,,103,smooth,"0,09",112,"0,16989","0,14059","0,02682","0,31810","0,08127"
YAR064W,,104,hybrid,"0,08",100,"0,17273","0,13669","0,02972","0,25794","0,09430"
YAR066W,,105,smooth,"0,54",204,#N/A,#N/A,#N/A,"0,35427","0,06521"
YAR068W,,106,abrupt,"0,75",162,"0,13079","0,09806","0,02568","0,20068","0,09492"
YAR069C,,107,smooth,"0,21",98,#N/A,#N/A,#N/A,"0,22214","0,07046"
YAR070C,,108,hybrid,"0,09",100,"0,25921","0,17346","0,03913","0,24727","0,09625"
YAR071W,PHO11,109,hybrid,"4,57",468,"0,17830","0,14741","0,02058","0,35275","0,06728"
YAR073W,IMD1,110,smooth,"1,65",404,"0,16562","0,13944","0,02022","0,36482","0,06688"
YAR075W,,111,hybrid,"4,39",158,"0,88371","0,34706","0,05171","0,40034","0,08171"
YBL001C,ECM15,112,smooth,"4,09",105,"0,29071","0,19772","0,02777","0,43562","0,07081"
YBL002W,HTB2,113,hybrid,"8,91",132,"0,26205","0,21142","0,02359","0,55808","0,09255"
YBL003C,HTA2,114,smooth,"13,33",133,"0,19464","0,16430","0,01755","0,55785","0,07197"
YBL004W,UTP20,115,abrupt,"1,5",2494,"0,02905","0,02817","0,00516","0,22431","0,06599"
YBL005W,PDR3,116,hybrid,"0,4",977,"0,06604","0,06031","0,01083","0,24936","0,06061"
YBL006C,LDB7,117,smooth,"3,83",181,"0,14743","0,11435","0,02843","0,21531","0,06277"
YBL007C,SLA1,118,abrupt,"2,97",1245,"0,05671","0,05091","0,00797","0,30009","0,09575"
YBL008W,HIR1,119,hybrid,"0,23",841,"0,04032","0,03832","0,00674","0,26508","0,06321"
YBL009W,ALK2,120,hybrid,"0,32",677,"0,04547","0,04289","0,00786","0,25543","0,06424"
YBL010C,,121,abrupt,"0,16",281,"0,10416","0,08682","0,01667","0,27530","0,08118"
YBL011W,SCT1,122,abrupt,"1,23",760,"0,06125","0,05259","0,00906","0,23799","0,07630"
YBL012C,,123,smooth,"0,08",134,"0,26277","0,15999","0,03915","0,22082","0,06930"
YBL013W,FMT1,124,abrupt,"0,09",402,"0,07095","0,06374","0,01304","0,21321","0,08039"
YBL014C,RRN6,125,abrupt,"0,58",895,"0,01555","0,01511","0,00278","0,25844","0,08720"
YBL015W,ACH1,126,hybrid,"0,93",527,"0,14932","0,11939","0,02059","0,26569","0,06914"
YBL016W,FUS3,127,abrupt,1,354,"0,08461","0,07539","0,01570","0,23298","0,09124"
YBL017C,PEP1,128,smooth,"2,51",1580,"0,00791","0,00770","0,00128","0,24390","0,04963"
YBL018C,POP8,129,abrupt,"1,43",134,"0,25832","0,19807","0,03290","0,35458","0,09277"
YBL019W,APN2,130,abrupt,"0,22",521,"0,06516","0,05746","0,01061","0,24816","0,08129"
YBL020W,RFT1,131,abrupt,"0,77",575,"0,11766","0,09838","0,01835","0,25532","0,08103"
YBL021C,HAP3,132,smooth,"0,72",145,"0,15394","0,12732","0,02759","0,27739","0,07844"
YBL022C,PIM1,133,abrupt,"2,7",1134,"0,07387","0,06705","0,01101","0,28062","0,08959"
YBL023C,MCM2,134,abrupt,"0,3",869,"0,07836","0,07261","0,01174","0,23109","0,09586"
YBL024W,NCL1,135,abrupt,"1,92",685,"0,11418","0,10341","0,01511","0,29159","0,07028"
YBL025W,RRN10,136,hybrid,"0,7",146,"0,14893","0,12384","0,02500","0,28204","0,08878"
YBL026W,LSM2,137,smooth,"2,74",96,"0,21053","0,15116","0,02605","0,37075","0,08975"
YBL027W,RPL19B,138,smooth,"37,56",190,"0,14561","0,12643","0,01246","0,51032","0,05424"
YBL028C,,139,smooth,"1,14",107,"0,26976","0,19530","0,02475","0,51501","0,07776"
YBL029W,,141,hybrid,"0,36",377,#N/A,#N/A,#N/A,"0,25088","0,08198"
YBL030C,PET9,142,smooth,"14,75",319,"0,18414","0,15609","0,01871","0,41876","0,06470"
YBL031W,SHE1,143,abrupt,"0,12",339,"0,06730","0,06067","0,01115","0,25144","0,07725"
YBL032W,HEK2,144,hybrid,"1,33",382,"0,09070","0,07932","0,01336","0,29098","0,07290"
YBL033C,RIB1,145,abrupt,"1,91",346,"0,09466","0,08362","0,01717","0,26176","0,08987"
YBL034C,STU1,146,smooth,"0,88",1514,"0,05304","0,04828","0,00850","0,23875","0,05289"
YBL035C,POL12,147,abrupt,"0,84",706,"0,06027","0,05631","0,01013","0,22985","0,07311"
YBL036C,,148,hybrid,"1,58",258,"0,14954","0,13172","0,02010","0,32045","0,06797"
YBL037W,APL3,149,abrupt,"0,25",1026,"0,07704","0,06502","0,01184","0,25654","0,09037"
YBL038W,MRPL16,150,abrupt,"1,92",233,"0,10717","0,09223","0,01550","0,27659","0,08199"
YBL039C,URA7,151,smooth,"6,68",580,"0,11970","0,10662","0,01532","0,32746","0,05686"
YBL040C,ERD2,152,hybrid,"2,59",220,"0,11516","0,10280","0,01711","0,32559","0,08031"
YBL041W,PRE7,153,abrupt,"3,4",242,"0,13511","0,11581","0,01986","0,28242","0,07989"
YBL042C,FUI1,154,hybrid,"2,27",640,"0,12924","0,11119","0,01887","0,25503","0,05758"
YBL043W,ECM13,155,abrupt,"0,32",258,"0,17286","0,13687","0,02498","0,23355","0,09343"
YBL044W,,156,hybrid,"0,08",123,"0,19769","0,14266","0,03083","0,25924","0,08337"
YBL045C,COR1,157,smooth,"2,39",458,"0,17116","0,13469","0,01914","0,34391","0,07461"
YBL046W,PSY4,158,abrupt,"0,67",442,"0,08139","0,06800","0,01261","0,22219","0,09374"
YBL047C,EDE1,159,hybrid,"1,07",1382,"0,02614","0,02554","0,00401","0,26925","0,06390"
YBL048W,RRT1,160,smooth,"0,13",104,"0,75806","0,25739","0,05218","0,30469","0,06892"
YBL049W,MOH1,161,hybrid,"0,25",139,"0,17272","0,13895","0,02720","0,28860","0,08635"
YBL050W,SEC17,162,abrupt,"2,1",293,"0,10017","0,08474","0,01522","0,28182","0,07854"
YBL051C,PIN4,163,abrupt,"0,94",669,"0,05427","0,04991","0,00818","0,26236","0,09358"
YBL052C,SAS3,164,smooth,"0,55",832,"0,02115","0,02047","0,00354","0,26617","0,05821"
YBL053W,,165,smooth,"0,51",125,"0,12674","0,10626","0,02629","0,20320","0,06458"
YBL054W,TOD6,166,abrupt,"2,12",526,"0,04599","0,04206","0,00781","0,25673","0,08139"
YBL055C,,167,smooth,"1,09",419,"0,12138","0,10139","0,01932","0,27608","0,06898"
YBL056W,PTC3,168,abrupt,"1,16",469,"0,09437","0,08448","0,01350","0,27334","0,09474"
YBL057C,PTH2,169,hybrid,"1,28",215,"0,11503","0,09577","0,01713","0,30977","0,08405"
YBL058W,SHP1,170,smooth,"3,64",424,"0,13780","0,11324","0,01924","0,30679","0,06375"
YBL059W,,172,hybrid,"0,22",194,"0,12524","0,10321","0,02132","0,24724","0,08420"
YBL060W,YEL1,173,hybrid,"0,3",688,"0,05120","0,04721","0,00844","0,26354","0,06538"
YBL061C,SKT5,174,smooth,"1,7",697,"0,04872","0,04436","0,00804","0,22452","0,05051"
YBL062W,,175,hybrid,"0,35",127,"0,22650","0,15633","0,03512","0,24464","0,08723"
YBL063W,KIP1,176,hybrid,"0,21",1112,"0,04847","0,04515","0,00812","0,27926","0,07916"
YBL064C,PRX1,177,smooth,"1,07",262,"0,18859","0,13957","0,02305","0,25188","0,04539"
YBL065W,,178,smooth,"0,19",115,"0,14874","0,12445","0,02726","0,26155","0,07612"
YBL066C,SEF1,179,smooth,"0,13",1149,"0,01285","0,01245","0,00217","0,26263","0,06125"
YBL067C,UBP13,180,abrupt,"0,55",748,"0,03384","0,03222","0,00533","0,29691","0,06967"
YBL068W,PRS4,181,smooth,"3,67",328,"0,10205","0,08924","0,01448","0,30620","0,06296"
YBL069W,AST1,182,abrupt,"0,58",430,"0,09974","0,08686","0,01471","0,29831","0,07587"
YBL070C,,183,smooth,"0,08",107,"0,47443","0,24764","0,06029","0,28499","0,08208"
YBL071C,,184,hybrid,"0,36",103,"0,12973","0,10653","0,02023","0,29299","0,08599"
YBL072C,RPS8A,186,smooth,"162,86",201,"0,12147","0,10874","0,01036","0,69835","0,09662"
YBL073W,,187,smooth,"0,1",104,"0,30169","0,19110","0,04736","0,24905","0,07259"
YBL074C,AAR2,188,hybrid,"0,11",356,"0,08192","0,07397","0,01353","0,28722","0,07234"
YBL075C,SSA3,189,abrupt,"0,1",650,"0,05188","0,04952","0,00832","0,26110","0,09367"
YBL076C,ILS1,190,hybrid,"6,09",1073,"0,10422","0,08959","0,01175","0,35102","0,06247"
YBL077W,,191,abrupt,"0,45",144,"1,13727","0,26389","0,09051","0,26390","0,09306"
YBL078C,ATG8,192,smooth,"0,87",118,"0,25384","0,18516","0,03509","0,27776","0,06113"
YBL079W,NUP170,193,hybrid,"0,85",1503,"0,01284","0,01271","0,00213","0,24285","0,05486"
YBL080C,PET112,194,hybrid,"0,03",542,"0,06982","0,05963","0,01094","0,25581","0,06362"
YBL081W,,195,abrupt,"1,4",369,"0,12692","0,10309","0,02030","0,22175","0,08164"
YBL082C,ALG3,196,hybrid,"0,81",459,"0,06806","0,06230","0,01265","0,24794","0,07964"
YBL083C,,197,hybrid,"1,29",142,"0,17745","0,13765","0,03022","0,22554","0,07391"
YBL084C,CDC27,198,smooth,"0,53",759,#N/A,#N/A,#N/A,"0,21164","0,04925"
YBL085W,BOI1,199,abrupt,"1,56",981,"0,04663","0,04296","0,00764","0,22491","0,09281"
YBL086C,,200,hybrid,"0,46",467,"0,05198","0,04909","0,00869","0,28577","0,07439"
YBL087C,RPL23A,201,smooth,"85,74",138,"0,17563","0,15113","0,01598","0,63038","0,07798"
YBL088C,TEL1,202,abrupt,"0,4",2788,"0,01529","0,01490","0,00279","0,20919","0,06433"
YBL089W,AVT5,203,hybrid,"0,38",460,"0,06369","0,05667","0,01066","0,28513","0,08214"
YBL090W,MRP21,204,smooth,"0,97",178,"0,20444","0,12275","0,02291","0,25837","0,05463"
YBL091C,MAP2,205,abrupt,"5,4",422,"0,10678","0,09439","0,01474","0,31809","0,08357"
YBL091C-A,SCS22,206,smooth,"1,5",176,#N/A,#N/A,#N/A,"0,27676","0,06543"
YBL092W,RPL32,207,smooth,"79,85",131,#N/A,#N/A,#N/A,"0,68801","0,07037"
YBL093C,ROX3,208,hybrid,"1,63",221,"0,07518","0,06896","0,01401","0,23422","0,08320"
YBL094C,,209,hybrid,"0,44",111,"0,39086","0,20195","0,04439","0,28168","0,09293"
YBL095W,,210,hybrid,"0,33",271,"0,07251","0,06723","0,01240","0,29164","0,07582"
YBL096C,,211,hybrid,"0,95",103,"0,43267","0,21662","0,04770","0,28521","0,09487"
YBL097W,BRN1,212,abrupt,"0,12",755,"0,05674","0,05151","0,00864","0,29164","0,09246"
YBL098W,BNA4,213,abrupt,"0,37",461,"0,08577","0,07547","0,01233","0,32817","0,08655"
YBL099W,ATP1,214,hybrid,"3,56",546,"0,12571","0,11144","0,01395","0,38895","0,06979"
YBL100C,,215,smooth,"0,1",105,"0,92125","0,26559","0,06980","0,26679","0,07306"
YBL101C,ECM21,216,smooth,"1,03",1118,"0,04184","0,03938","0,00704","0,26798","0,06071"
YBL102W,SFT2,217,hybrid,"2,22",216,"0,04456","0,04084","0,00935","0,22610","0,07475"
YBL103C,RTG3,218,hybrid,"0,27",487,"0,06809","0,06209","0,01047","0,29147","0,07161"
YBL104C,SEA4,219,hybrid,"0,54",1039,"0,06522","0,05840","0,01018","0,24496","0,05714"
YBL105C,PKC1,220,abrupt,"0,44",1152,"0,05041","0,04601","0,00780","0,27583","0,09504"
YBL106C,SRO77,221,hybrid,"0,29",1011,"0,02290","0,02209","0,00393","0,25761","0,06213"
YBL107C,,222,smooth,"0,6",197,"0,11286","0,08638","0,01707","0,23775","0,05222"
YBL108W,,225,hybrid,"0,07",102,"0,38665","0,21890","0,04697","0,28996","0,07746"
YBL109W,,226,smooth,"1,46",112,#N/A,#N/A,#N/A,"0,30041","0,08040"
YBL111C,,227,abrupt,"0,82",668,"0,01482","0,01453","0,00302","0,22947","0,08902"
YBL112C,,228,smooth,"2,12",106,"0,28377","0,17437","0,03990","0,27017","0,08012"
YBL113C,,229,abrupt,"6,43",793,"0,01424","0,01438","0,00254","0,23492","0,09886"
YBR001C,NTH2,230,smooth,"0,54",781,"0,04472","0,04108","0,00737","0,26581","0,06901"
YBR002C,RER2,231,abrupt,"1,04",287,"0,08448","0,07193","0,01335","0,25615","0,08750"
YBR003W,COQ1,232,abrupt,"0,68",474,"0,05632","0,05196","0,00929","0,28834","0,08131"
YBR004C,GPI18,233,smooth,"1,05",434,"0,13178","0,09946","0,01687","0,27517","0,05248"
YBR005W,RCR1,234,abrupt,"1,03",214,"0,11226","0,08904","0,02039","0,23971","0,09320"
YBR006W,UGA2,235,hybrid,"0,12",498,"0,07936","0,07319","0,01166","0,29024","0,07320"
YBR007C,DSF2,236,hybrid,"0,46",737,"0,03379","0,03276","0,00608","0,25350","0,07217"
YBR008C,FLR1,237,hybrid,"2,19",549,"0,02545","0,02403","0,00406","0,28030","0,06351"
YBR009C,HHF1,238,smooth,"13,51",104,"0,43180","0,30364","0,02926","0,72060","0,07494"
YBR010W,HHT1,239,smooth,"126,71",137,"0,25607","0,20013","0,02000","0,68473","0,07936"
YBR011C,IPP1,240,abrupt,"10,56",288,"0,23403","0,19290","0,02037","0,51359","0,08402"
YBR012C,,241,hybrid,"0,18",140,#N/A,#N/A,#N/A,"0,27983","0,07815"
YBR013C,,242,abrupt,"0,15",130,"0,20317","0,13264","0,03023","0,23294","0,09339"
YBR014C,GRX7,243,smooth,"2,41",204,"0,19124","0,15493","0,02769","0,32485","0,07262"
YBR015C,MNN2,244,#NV,"0,75",598,"0,14430","0,10343","0,01799","0,27708","0,09132"
YBR016W,,245,smooth,"4,37",129,"0,09932","0,09027","0,02190","0,19346","0,06995"
YBR017C,KAP104,246,smooth,"0,69",919,"0,07955","0,06832","0,01213","0,24724","0,05664"
YBR018C,GAL7,247,hybrid,"0,03",367,"0,10827","0,09926","0,01649","0,24127","0,05858"
YBR019C,GAL10,248,abrupt,"0,11",700,"0,02438","0,02346","0,00376","0,29760","0,09028"
YBR020W,GAL1,249,abrupt,"0,11",529,"0,03470","0,03307","0,00520","0,29352","0,07798"
YBR021W,FUR4,250,smooth,"0,81",634,"0,02775","0,02674","0,00412","0,32977","0,06560"
YBR022W,POA1,251,hybrid,"0,46",178,"0,22730","0,16852","0,03166","0,31021","0,07491"
YBR023C,CHS3,252,abrupt,"1,75",1166,"0,05254","0,04891","0,00854","0,22005","0,07514"
YBR024W,SCO2,253,hybrid,"0,38",302,"0,08411","0,07574","0,01341","0,30858","0,07823"
YBR025C,OLA1,254,abrupt,"10,96",395,"0,18530","0,15569","0,01698","0,47825","0,08332"
YBR026C,ETR1,255,smooth,"0,67",381,"0,12313","0,09411","0,01593","0,27553","0,05500"
YBR027C,,256,hybrid,"0,09",111,"0,23178","0,15919","0,03653","0,24166","0,08552"
YBR028C,YPK3,257,smooth,"0,36",526,"0,06335","0,05619","0,00951","0,28533","0,06321"
YBR029C,CDS1,258,hybrid,"1,82",458,"0,11720","0,09982","0,01755","0,24050","0,06838"
YBR030W,RKM3,259,abrupt,"0,23",553,"0,05695","0,05390","0,00926","0,22953","0,09718"
YBR031W,RPL4A,260,smooth,"136,46",363,"0,25125","0,20424","0,01946","0,67603","0,07432"
YBR032W,,261,smooth,"0,29",101,"0,27264","0,18136","0,04296","0,26063","0,07842"
YBR033W,EDS1,262,hybrid,"0,03",920,"0,03191","0,03056","0,00579","0,25501","0,07137"
YBR034C,HMT1,263,smooth,"3,56",349,"0,18046","0,14476","0,02148","0,35704","0,06417"
YBR035C,PDX3,264,hybrid,"3,01",229,"0,14405","0,11857","0,02120","0,19755","0,05421"
YBR036C,CSG2,265,smooth,"2,72",411,"0,12580","0,09765","0,01875","0,27645","0,07123"
YBR037C,SCO1,266,hybrid,"0,23",296,"0,09103","0,08097","0,01630","0,24914","0,07461"
YBR038W,CHS2,267,abrupt,"0,62",964,"0,07536","0,06690","0,01130","0,25505","0,06590"
YBR039W,ATP3,268,smooth,"3,91",312,"0,14591","0,12053","0,01521","0,39016","0,05520"
YBR040W,FIG1,269,smooth,"0,03",299,"0,08056","0,07277","0,01264","0,25859","0,05457"
YBR041W,FAT1,270,hybrid,"1,52",670,"0,12390","0,09786","0,01619","0,27223","0,06203"
YBR042C,CST26,271,smooth,"1,06",398,"0,06087","0,05583","0,01071","0,21877","0,05458"
YBR043C,QDR3,272,abrupt,"0,82",690,"0,01856","0,01823","0,00315","0,28864","0,07907"
YBR044C,TCM62,273,smooth,"0,31",574,"0,04430","0,04011","0,00709","0,23983","0,04894"
YBR045C,GIP1,274,abrupt,"0,09",574,"0,05812","0,05383","0,00965","0,26437","0,08262"
YBR046C,ZTA1,275,hybrid,"0,9",335,"0,11138","0,09265","0,01663","0,29370","0,07230"
YBR047W,FMP23,276,smooth,"0,18",176,"0,21964","0,15076","0,02432","0,34806","0,06256"
YBR048W,RPS11B,277,smooth,"71,7",157,"0,15857","0,13939","0,01385","0,69492","0,07992"
YBR049C,REB1,278,abrupt,"1,85",811,"0,07500","0,06816","0,01064","0,28718","0,08850"
YBR050C,REG2,279,abrupt,"0,79",339,"0,07125","0,06578","0,01213","0,24309","0,08516"
YBR051W,,280,hybrid,"0,09",117,"0,24119","0,16682","0,03483","0,27129","0,07922"
YBR052C,RFS1,281,hybrid,"2,46",211,"0,12582","0,11207","0,01836","0,31371","0,08027"
YBR053C,,282,hybrid,"0,84",359,"0,11220","0,09804","0,01610","0,31126","0,07519"
YBR054W,YRO2,283,smooth,"1,23",345,"0,16883","0,14373","0,01822","0,40216","0,06473"
YBR055C,PRP6,284,abrupt,"0,47",900,"0,02813","0,02687","0,00470","0,26780","0,07425"
YBR056W-A,,285,hybrid,"1,08",67,"0,09434","0,08516","0,01382","0,40370","0,09189"
YBR056W,,286,smooth,"0,75",502,#N/A,#N/A,#N/A,"0,32735","0,06541"
