ORF;Gene Name;Raw Half life;Corrected Half Life
YJL214W;HXT8;-75;300
YJL217W;;99;99
YJL222W;VTH2;-218;300
YJR001W;AVT1;25;25
YJR003C;;59;59
YJR005W;APL1;34;34
YJR006W;HYS2;43;43
YJR007W;SUI2;42;42
YJR008W;;19;19
YJR010C-A;SPC1;135;135
YJR010W;MET3;44;44
YJR011C;;68;68
YJR012C;;419;419
YJR013W;PMH1;38;38
YJR015W;;13;13
YJR016C;ILV3;45;45
YJR017C;ESS1;-299;300
YJR022W;LSM8;-685;300
YJR024C;;14;14
YJR025C;BNA1;185;185
YJR031C;GEA1;-137;300
YJR032W;CPR7;41;41
YJR033C;RAV1;-3757;300
YJR035W;RAD26;-68;300
YJR041C;URB2;32;32
YJR042W;NUP85;173;173
YJR043C;POL32;76;76
YJR044C;VPS55;-175;300
YJR046W;TAH11;15;15
YJR047C;ANB1;12;12
YJR048W;CYC1;61;61
YJR049C;UTR1;16;16
YJR050W;ISY1;17;17
YJR051W;OSM1;18;18
YJR052W;RAD7;37;37
YJR053W;BFA1;38;38
YJR055W;HIT1;82;82
YJR056C;;2;2
YJR057W;CDC8;-18395;300
YJR058C;APS2;145;145
YJR059W;PTK2;50;50
YJR060W;CBF1;38;38
YJR062C;NTA1;55;55
YJR063W;RPA12;90;90
YJR066W;TOR1;5;5
YJR067C;YAE1;-385;300
YJR068W;RFC2;31;31
YJR069C;HAM1;51;51
YJR070C;LIA1;63;63
YJR072C;NPA3;141;141
YJR073C;OPI3;203;203
YJR074W;MOG1;29;29
YJR075W;HOC1;8;8
YJR076C;CDC11;62;62
YJR078W;BNA2;20;20
YJR079W;;44;44
YJR080C;FMP26;81;81
YJR082C;EAF6;184;184
YJR083C;ACF4;57;57
YJR084W;CSN12;25;25
YJR088C;;-630;300
YJR091C;JSN1;43;43
YJR093C;FIP1;72;72
YJR094W-A;RPL43B;64;64
YJR096W;;63;63
YJR097W;JJJ3;41;41
YJR098C;;54;54
YJR101W;RSM26;93;93
YJR103W;URA8;32;32
YJR104C;SOD1;-404;300
YJR105W;ADO1;60;60
YJR109C;CPA2;7;7
YJR110W;YMR1;19;19
YJR111C;;69;69
YJR112W;NNF1;170;170
YJR113C;RSM7;38;38
YJR117W;STE24;24;24
YJR119C;;36;36
YJR121W;ATP2;6627;6627
YJR122W;CAF17;46;46
YJR126C;VPS70;14;14
YJR127C;ZMS1;61;61
YJR129C;;13;13
YJR130C;STR2;45;45
YJR131W;MNS1;84;84
YJR132W;NMD5;61;61
YJR133W;XPT1;68;68
YJR134C;SGM1;1950;1950
YJR135C;MCM22;-150;300
YJR136C;;151;151
YJR137C;ECM17;125;125
YJR139C;HOM6;56;56
YJR140C;HIR3;21;21
YJR142W;;35;35
YJR143C;PMT4;19;19
YJR145C;RPS4A;53;53
YJR147W;HMS2;42;42
YJR149W;;93;93
YJR154W;;30;30
YJR156C;THI11;3;3
YJR161C;COS5;23;23
YKL001C;MET14;5488;5488
YKL004W;AUR1;94;94
YKL005C;BYE1;22;22
YKL006C-A;SFT1;16;16
YKL006W;RPL14A;-266;300
YKL007W;CAP1;-202;300
YKL008C;LAC1;77;77
YKL009W;MRT4;73;73
YKL010C;UFD4;11;11
YKL011C;CCE1;65;65
YKL013C;ARC19;-224;300
YKL014C;URB1;45;45
YKL016C;ATP7;16;16
YKL017C;HCS1;35;35
YKL018W;SWD2;26;26
YKL019W;RAM2;26;26
YKL020C;SPT23;34;34
YKL021C;MAK11;171;171
YKL022C;CDC16;66;66
YKL023W;;44;44
YKL024C;URA6;329;329
YKL025C;PAN3;36;36
YKL026C;GPX1;50;50
YKL027W;;59;59
YKL028W;TFA1;28;28
YKL029C;MAE1;29;29
YKL032C;IXR1;10;10
YKL035W;UGP1;57;57
YKL038W;RGT1;14;14
YKL040C;NFU1;117;117
YKL041W;VPS24;-77;300
YKL043W;PHD1;14;14
YKL046C;DCW1;40;40
YKL047W;;177;177
YKL048C;ELM1;42;42
YKL051W;SFK1;57;57
YKL052C;ASK1;3;3
YKL053C-A;MDM35;40;40
YKL055C;OAR1;49;49
YKL056C;;166;166
YKL058W;TOA2;170;170
YKL059C;MPE1;33;33
YKL060C;FBA1;104;104
YKL061W;;54;54
YKL063C;;12;12
YKL064W;MNR2;78;78
YKL065C;YET1;1256;1256
YKL067W;YNK1;-1033;300
YKL068W;NUP100;20;20
YKL069W;;25;25
YKL072W;STB6;25;25
YKL074C;MUD2;74;74
YKL075C;;46;46
YKL078W;DHR2;46;46
YKL079W;SMY1;21;21
YKL080W;VMA5;53;53
YKL081W;TEF4;105;105
YKL085W;MDH1;167;167
YKL086W;SRX1;16;16
YKL088W;;59;59
YKL089W;MIF2;75;75
YKL091C;;170;170
YKL092C;BUD2;38;38
YKL094W;YJU3;88;88
YKL095W;YJU2;76;76
YKL096W;CWP1;25;25
YKL103C;LAP4;119;119
YKL104C;GFA1;31;31
YKL105C;;32;32
YKL106W;AAT1;42;42
YKL112W;ABF1;2;2
YKL113C;RAD27;-135;300
YKL114C;APN1;60;60
YKL116C;PRR1;58;58
YKL117W;SBA1;280;280
YKL119C;VPH2;30;30
YKL120W;OAC1;43;43
YKL121W;;5;5
YKL122C;SRP21;325;325
YKL124W;SSH4;12;12
YKL125W;RRN3;31;31
YKL126W;YPK1;30;30
YKL127W;PGM1;23;23
YKL130C;SHE2;2258;2258
YKL134C;38261;37;37
YKL135C;APL2;71;71
YKL137W;;5;5
YKL138C;MRPL31;-104;300
YKL139W;CTK1;22;22
YKL140W;TGL1;29;29
YKL141W;SDH3;24;24
YKL142W;MRP8;48;48
YKL144C;RPC25;142;142
YKL145W;RPT1;9;9
YKL148C;SDH1;62;62
YKL149C;DBR1;20;20
YKL150W;MCR1;53;53
YKL151C;;54;54
YKL152C;GPM1;-738;300
YKL154W;SRP102;51;51
YKL155C;RSM22;47;47
YKL157W;APE2;36;36
YKL159C;RCN1;45;45
YKL160W;ELF1;119;119
YKL162C;;16;16
YKL164C;PIR1;2;2
YKL165C;MCD4;657;657
YKL166C;TPK3;24;24
YKL168C;KKQ8;51;51
YKL170W;MRPL38;-122;300
YKL173W;SNU114;52;52
YKL176C;LST4;6;6
YKL179C;COY1;23;23
YKL181W;PRS1;44;44
YKL182W;FAS1;-66;300
YKL183W;LOT5;114;114
YKL185W;ASH1;2;2
YKL189W;HYM1;19;19
YKL191W;DPH2;448;448
YKL192C;ACP1;-3127;300
YKL193C;SDS22;89;89
YKL194C;MST1;134;134
YKL195W;MIA40;22;22
YKL197C;PEX1;57;57
YKL204W;EAP1;25;25
YKL205W;LOS1;25;25
YKL206C;;-647;300
YKL208W;CBT1;44;44
YKL209C;STE6;186;186
YKL210W;UBA1;114;114
YKL211C;TRP3;518;518
YKL212W;SAC1;57;57
YKL213C;DOA1;23;23
YKL214C;YRA2;247;247
YKL216W;URA1;203;203
YKL217W;JEN1;29;29
YKL219W;COS9;871;871
YKR001C;VPS1;79;79
YKR002W;PAP1;23;23
YKR003W;OSH6;81;81
YKR004C;ECM9;53;53
YKR006C;MRPL13;68;68
YKR007W;MEH1;88;88
YKR008W;RSC4;55;55
YKR011C;;71;71
YKR013W;PRY2;32;32
YKR014C;YPT52;773;773
YKR016W;FMP13;176;176
YKR017C;;23;23
YKR018C;;19;19
YKR023W;;31;31
YKR024C;DBP7;48;48
YKR025W;RPC37;43;43
YKR026C;GCN3;-73;300
YKR027W;FMP50;20;20
YKR029C;SET3;3;3
YKR031C;SPO14;19;19
YKR035W-A;DID2;100;100
YKR036C;CAF4;34;34
YKR037C;SPC34;172;172
YKR038C;KAE1;279;279
YKR041W;;37;37
YKR043C;;-131;300
YKR044W;UIP5;68;68
YKR045C;;39;39
YKR046C;PET10;43;43
YKR048C;NAP1;108;108
YKR052C;MRS4;62;62
YKR057W;RPS21A;-167;300
YKR059W;TIF1;-1505;300
YKR060W;UTP30;26;26
YKR062W;TFA2;30;30
YKR064W;;109;109
YKR065C;FMP18;45;45
YKR066C;CCP1;-410;300
YKR067W;GPT2;24;24
YKR068C;BET3;44;44
YKR070W;;71;71
YKR071C;DRE2;59;59
YKR072C;SIS2;38;38
YKR074W;;-182;300
YKR075C;;8;8
YKR076W;ECM4;39;39
YKR077W;;35;35
YKR078W;;-1826;300
YKR079C;TRZ1;48;48
YKR080W;MTD1;197;197
YKR081C;RPF2;166;166
YKR082W;NUP133;15;15
YKR084C;HBS1;43;43
YKR085C;MRPL20;82;82
YKR086W;PRP16;4;4
YKR087C;OMA1;70;70
YKR088C;TVP38;98;98
YKR089C;STC1;17;17
YKR090W;PXL1;98;98
YKR092C;SRP40;206;206
YKR093W;PTR2;23;23
YKR094C;RPL40B;-77;300
YKR096W;;39;39
YKR098C;UBP11;5;5
YKR099W;BAS1;2;2
YLL001W;DNM1;31;31
YLL002W;RTT109;150;150
YLL006W;MMM1;42;42
YLL007C;;41;41
YLL010C;PSR1;758;758
YLL011W;SOF1;29;29
YLL012W;YEH1;32;32
YLL013C;PUF3;326;326
YLL014W;;20;20
YLL018C-A;COX19;5;5
YLL019C;KNS1;34;34
YLL021W;SPA2;-162;300
YLL022C;HIF1;188;188
YLL026W;HSP104;61;61
YLL027W;ISA1;85;85
YLL028W;TPO1;181;181
YLL031C;GPI13;-110;300
YLL032C;;27;27
YLL034C;RIX7;20;20
YLL036C;PRP19;253;253
YLL038C;ENT4;55;55
YLL039C;UBI4;13;13
YLL040C;VPS13;-203;300
YLL043W;FPS1;30;30
YLL045C;RPL8B;80;80
YLL050C;COF1;-226;300
YLL054C;;45;45
YLL058W;;38;38
YLL060C;GTT2;24;24
YLL061W;MMP1;2;2
YLL062C;MHT1;463;463
YLR001C;;36;36
YLR002C;NOC3;44;44
YLR003C;;31;31
YLR005W;SSL1;16;16
YLR006C;SSK1;11;11
YLR011W;LOT6;84;84
YLR015W;BRE2;33;33
YLR016C;;40;40
YLR017W;MEU1;26;26
YLR020C;YEH2;61;61
YLR021W;;29;29
YLR022C;;21;21
YLR025W;SNF7;324;324
YLR026C;SED5;49;49
YLR027C;AAT2;205;205
YLR028C;ADE16;59;59
YLR032W;RAD5;84;84
YLR033W;RSC58;46;46
YLR035C;MLH2;21;21
YLR036C;;58;58
YLR038C;COX12;7;7
YLR039C;RIC1;54;54
YLR042C;;-94;300
YLR044C;PDC1;29;29
YLR045C;STU2;19;19
YLR049C;;11;11
YLR050C;;60;60
YLR052W;IES3;65;65
YLR055C;SPT8;-541;300
YLR056W;ERG3;45;45
YLR059C;REX2;66;66
YLR060W;FRS1;44;44
YLR061W;RPL22A;207;207
YLR063W;;-384;300
YLR064W;;9;9
YLR067C;PET309;46;46
YLR068W;FYV7;34;34
YLR069C;MEF1;-5393;300
YLR071C;RGR1;61;61
YLR072W;;10;10
YLR073C;;8;8
YLR074C;BUD20;49;49
YLR077W;FMP25;43;43
YLR079W;SIC1;33;33
YLR082C;SRL2;67;67
YLR084C;RAX2;55;55
YLR085C;ARP6;21;21
YLR086W;SMC4;36;36
YLR088W;GAA1;52;52
YLR089C;ALT1;78;78
YLR091W;;171;171
YLR093C;NYV1;46;46
YLR094C;GIS3;2;2
YLR095C;IOC2;12;12
YLR097C;HRT3;26;26
YLR098C;CHA4;65;65
YLR100W;ERG27;32;32
YLR103C;CDC45;78;78
YLR104W;;85;85
YLR105C;SEN2;28;28
YLR107W;REX3;80;80
YLR108C;;18;18
YLR109W;AHP1;-106;300
YLR110C;CCW12;26;26
YLR113W;HOG1;273;273
YLR114C;;112;112
YLR115W;CFT2;12;12
YLR116W;MSL5;39;39
YLR117C;CLF1;31;31
YLR118C;;-150;300
YLR119W;SRN2;66;66
YLR120C;YPS1;11;11
YLR121C;YPS3;7;7
YLR126C;;27;27
YLR127C;APC2;30;30
YLR129W;DIP2;41;41
YLR130C;ZRT2;55;55
YLR131C;ACE2;3;3
YLR132C;;29;29
YLR133W;CKI1;64;64
YLR135W;SLX4;31;31
YLR137W;;48;48
YLR138W;NHA1;-299;300
YLR139C;SLS1;-3308;300
YLR141W;RRN5;11;11
YLR143W;;27;27
YLR144C;ACF2;22;22
YLR145W;RMP1;-327;300
YLR146C;SPE4;82;82
YLR148W;PEP3;52;52
YLR149C;;3;3
YLR150W;STM1;184;184
YLR151C;PCD1;31;31
YLR154C;RNH203;18;18
YLR163C;MAS1;1961;1961
YLR166C;SEC10;58;58
YLR168C;;72;72
YLR172C;DPH5;403;403
YLR174W;IDP2;69;69
YLR175W;CBF5;30;30
YLR176C;RFX1;53;53
YLR177W;;13;13
YLR178C;TFS1;55;55
YLR179C;;66;66
YLR181C;VTA1;32;32
YLR182W;SWI6;17;17
YLR183C;TOS4;17;17
YLR185W;RPL37A;316;316
YLR187W;SKG3;14;14
YLR188W;MDL1;22;22
YLR189C;ATG26;220;220
YLR190W;MMR1;26;26
YLR191W;PEX13;44;44
YLR192C;HCR1;36;36
YLR193C;;6;6
YLR194C;;2;2
YLR196W;PWP1;46;46
YLR197W;SIK1;18;18
YLR199C;;95;95
YLR200W;YKE2;112;112
YLR201C;FMP53;-376;300
YLR203C;MSS51;87;87
YLR206W;ENT2;18;18
YLR208W;SEC13;-282;300
YLR209C;PNP1;31;31
YLR211C;;22;22
YLR212C;TUB4;41;41
YLR214W;FRE1;220;220
YLR215C;CDC123;93;93
YLR216C;CPR6;89;89
YLR218C;;437;437
YLR219W;MSC3;92;92
YLR220W;CCC1;2;2
YLR221C;RSA3;83;83
YLR222C;UTP13;53;53
YLR223C;IFH1;62;62
YLR225C;;167;167
YLR226W;BUR2;115;115
YLR228C;ECM22;2;2
YLR231C;BNA5;64;64
YLR234W;TOP3;27;27
YLR237W;THI7;33;33
YLR238W;FAR10;2;2
YLR239C;LIP2;-83;300
YLR240W;VPS34;22;22
YLR244C;MAP1;669;669
YLR245C;CDD1;-419;300
YLR248W;RCK2;72;72
YLR249W;YEF3;191;191
YLR250W;SSP120;26;26
YLR251W;SYM1;44;44
YLR253W;;53;53
YLR254C;;45;45
YLR257W;;21;21
YLR260W;LCB5;3;3
YLR264W;RPS28B;110;110
YLR265C;NEJ1;28;28
YLR268W;SEC22;17;17
YLR270W;DCS1;38;38
YLR271W;;19;19
YLR272C;YCS4;-2499;300
YLR274W;CDC46;43;43
YLR275W;SMD2;44;44
YLR277C;YSH1;34;34
YLR278C;;25;25
YLR281C;;115;115
YLR285W;NNT1;-229;300
YLR287C;;83;83
YLR289W;GUF1;-82;300
YLR290C;;34;34
YLR291C;GCD7;124;124
YLR295C;ATP14;142;142
YLR298C;YHC1;74;74
YLR299W;ECM38;18;18
YLR300W;EXG1;15;15
YLR301W;;-944;300
YLR304C;ACO1;72;72
YLR305C;STT4;27;27
YLR309C;IMH1;219;219
YLR310C;CDC25;16;16
YLR312W-A;MRPL15;453;453
YLR313C;SPH1;31;31
YLR315W;NKP2;-294;300
YLR316C;TAD3;25;25
YLR319C;BUD6;35;35
YLR321C;SFH1;5;5
YLR323C;CWC24;45;45
YLR324W;PEX30;54;54
YLR326W;;115;115
YLR328W;NMA1;60;60
YLR330W;CHS5;228;228
YLR332W;MID2;53;53
YLR333C;RPS25B;427;427
YLR335W;NUP2;21;21
YLR336C;SGD1;51;51
YLR344W;RPL26A;358;358
YLR345W;;73;73
YLR347C;KAP95;36;36
YLR348C;DIC1;398;398
YLR350W;ORM2;76;76
YLR351C;NIT3;-814;300
YLR352W;;7;7
YLR354C;TAL1;136;136
YLR355C;ILV5;350;350
YLR356W;;15;15
YLR357W;RSC2;23;23
YLR358C;;169;169
YLR360W;VPS38;40;40
YLR361C;DCR2;10;10
YLR362W;STE11;79;79
YLR363C;NMD4;93;93
YLR363W-A;;302;302
YLR364W;;16;16
YLR367W;RPS22B;181;181
YLR369W;SSQ1;61;61
YLR370C;ARC18;51;51
YLR372W;SUR4;91;91
YLR373C;VID22;22;22
YLR375W;STP3;20;20
YLR376C;PSY3;39;39
YLR377C;FBP1;81;81
YLR378C;SEC61;174;174
YLR380W;CSR1;66;66
YLR381W;CTF3;26;26
YLR382C;NAM2;46;46
YLR383W;RHC18;57;57
YLR384C;IKI3;165;165
YLR385C;SWC7;-312;300
YLR386W;VAC14;60;60
YLR387C;REH1;43;43
YLR388W;RPS29A;-90;300
YLR390W;ECM19;190;190
YLR392C;;-218;300
YLR393W;ATP10;126;126
YLR396C;VPS33;34;34
YLR398C;SKI2;40;40
YLR399C;BDF1;59;59
YLR401C;DUS3;19;19
YLR403W;SFP1;15;15
YLR404W;;-271;300
YLR405W;DUS4;116;116
YLR406C;RPL31B;265;265
YLR407W;;46;46
YLR408C;;61;61
YLR412W;;-224;300
YLR413W;;72;72
YLR414C;;-1810;300
YLR417W;VPS36;166;166
YLR418C;CDC73;130;130
YLR419W;;26;26
YLR420W;URA4;94;94
YLR421C;RPN13;-102;300
YLR423C;ATG17;43;43
YLR424W;SPP382;28;28
YLR426W;;51;51
YLR427W;MAG2;24;24
YLR429W;CRN1;23;23
YLR431C;ATG23;24;24
YLR432W;IMD3;650;650
YLR433C;CNA1;32;32
YLR435W;TSR2;27;27
YLR436C;ECM30;40;40
YLR439W;MRPL4;-384;300
YLR440C;SEC39;35;35
YLR441C;RPS1A;334;334
YLR447C;VMA6;1348;1348
YLR448W;RPL6B;-413;300
YLR449W;FPR4;11;11
YLR450W;HMG2;93;93
YLR451W;LEU3;12;12
YLR452C;SST2;60;60
YLR453C;RIF2;58;58
YLR455W;;104;104
YLR456W;;-293;300
YLR457C;NBP1;31;31
YLR460C;;9;9
YLR462W;;2;2
YML003W;;27;27
YML004C;GLO1;85;85
YML005W;TRM12;63;63
YML006C;GIS4;50;50
YML007C-A;;2981;2981
YML007W;YAP1;23;23
YML008C;ERG6;135;135
YML009C;MRPL39;664;664
YML010W;SPT5;3;3
YML011C;;4;4
YML012W;ERV25;215;215
YML013W;SEL1;51;51
YML014W;TRM9;47;47
YML016C;PPZ1;50;50
YML017W;PSP2;20;20
YML018C;;80;80
YML019W;OST6;24;24
YML020W;;19;19
YML021C;UNG1;36;36
YML022W;APT1;-112;300
YML023C;;36;36
YML024W;RPS17A;-1238;300
YML025C;YML6;50;50
YML026C;RPS18B;321;321
YML027W;YOX1;3;3
YML028W;TSA1;-129;300
YML029W;USA1;18;18
YML030W;;63;63
YML031W;NDC1;98;98
YML032C;RAD52;27;27
YML034W;SRC1;31;31
YML035C;AMD1;33;33
YML037C;;2;2
YML041C;VPS71;75;75
YML042W;CAT2;47;47
YML043C;RRN11;23;23
YML046W;PRP39;62;62
YML048W;GSF2;108;108
YML051W;GAL80;2856;2856
YML052W;SUR7;207;207
YML053C;;12;12
YML054C;CYB2;54;54
YML055W;SPC2;76;76
YML056C;IMD4;65;65
YML057W;CMP2;47;47
YML058W-A;HUG1;3;3
YML060W;OGG1;36;36
YML061C;PIF1;166;166
YML062C;MFT1;43;43
YML064C;TEM1;26;26
YML065W;ORC1;85;85
YML067C;ERV41;166;166
YML070W;DAK1;42;42
YML071C;COG8;31;31
YML072C;TCB3;32;32
YML076C;WAR1;3;3
YML078W;CPR3;58;58
YML079W;;76;76
YML080W;DUS1;37;37
YML081C-A;ATP18;63;63
YML081W;;3;3
YML082W;;58;58
YML085C;TUB1;41;41
YML086C;ALO1;39;39
YML091C;RPM2;2;2
YML092C;PRE8;7987;7987
YML093W;UTP14;9;9
YML094W;GIM5;51;51
YML095C;RAD10;42;42
YML096W;;34;34
YML097C;VPS9;85;85
YML098W;TAF13;32;32
YML100W;TSL1;39;39
YML101C;CUE4;-90;300
YML102W;CAC2;45;45
YML103C;NUP188;46;46
YML104C;MDM1;3;3
YML105C;SEC65;66;66
YML107C;;182;182
YML108W;;59;59
YML109W;ZDS2;47;47
YML110C;COQ5;73;73
YML111W;BUL2;2;2
YML112W;CTK3;94;94
YML113W;DAT1;42;42
YML114C;TAF8;24;24
YML115C;VAN1;2;2
YML116W;ATR1;19;19
YML117W;NAB6;139;139
YML118W;NGL3;68;68
YML120C;NDI1;43;43
YML123C;PHO84;25;25
YML124C;TUB3;448;448
YML125C;;-146;300
YML126C;ERG13;46;46
YML128C;MSC1;34;34
YML131W;;-212;300
YML132W;COS3;33;33
YMR001C;CDC5;10;10
YMR002W;;-3826;300
YMR003W;;21;21
YMR004W;MVP1;18;18
YMR005W;TAF4;23;23
YMR006C;PLB2;2;2
YMR010W;;-635;300
YMR011W;HXT2;-961;300
YMR012W;CLU1;44;44
YMR014W;BUD22;98;98
YMR016C;SOK2;3;3
YMR019W;STB4;3;3
YMR020W;FMS1;54;54
YMR021C;MAC1;93;93
YMR022W;QRI8;31;31
YMR023C;MSS1;32;32
YMR024W;MRPL3;94;94
YMR026C;PEX12;33;33
YMR027W;;26;26
YMR029C;FAR8;29;29
YMR031C;;9;9
YMR032W;HOF1;32;32
YMR036C;MIH1;12;12
YMR037C;MSN2;2;2
YMR038C;CCS1;-159;300
YMR039C;SUB1;46;46
YMR043W;MCM1;-991;300
YMR044W;IOC4;16;16
YMR048W;CSM3;2;2
YMR049C;ERB1;17;17
YMR052W;FAR3;7;7
YMR054W;STV1;33;33
YMR058W;FET3;46;46
YMR060C;TOM37;21;21
YMR061W;RNA14;7;7
YMR064W;AEP1;84;84
YMR066W;SOV1;38;38
YMR067C;UBX4;22;22
YMR068W;AVO2;58;58
YMR069W;NAT4;30;30
YMR070W;MOT3;5;5
YMR071C;TVP18;44;44
YMR072W;ABF2;91;91
YMR073C;;114;114
YMR074C;;-116;300
YMR075W;RCO1;37;37
YMR076C;PDS5;35;35
YMR077C;VPS20;124;124
YMR078C;CTF18;35;35
YMR079W;SEC14;149;149
YMR080C;NAM7;18;18
YMR083W;ADH3;-431;300
YMR086W;;40;40
YMR089C;YTA12;29;29
YMR090W;;109;109
YMR091C;NPL6;116;116
YMR093W;UTP15;122;122
YMR097C;MTG1;69;69
YMR098C;;-124;300
YMR100W;MUB1;74;74
YMR102C;;23;23
YMR104C;YPK2;71;71
YMR105C;PGM2;43;43
YMR106C;YKU80;16;16
YMR107W;SPG4;27;27
YMR108W;ILV2;40;40
YMR109W;MYO5;168;168
YMR110C;;321;321
YMR111C;;10;10
YMR112C;MED11;116;116
YMR113W;FOL3;54;54
YMR114C;;49;49
YMR115W;FMP24;156;156
YMR116C;ASC1;157;157
YMR117C;SPC24;74;74
YMR120C;ADE17;39;39
YMR121C;RPL15B;142;142
YMR123W;PKR1;57;57
YMR124W;;430;430
YMR125W;STO1;65;65
YMR127C;SAS2;6;6
YMR128W;ECM16;393;393
YMR129W;POM152;46;46
YMR132C;JLP2;38;38
YMR134W;;141;141
YMR135C;GID8;156;156
YMR137C;PSO2;16;16
YMR138W;CIN4;64;64
YMR139W;RIM11;21;21
YMR140W;SIP5;19;19
YMR142C;RPL13B;67;67
YMR143W;RPS16A;131;131
YMR146C;TIF34;1250;1250
YMR148W;;-121;300
YMR149W;SWP1;329;329
YMR152W;YIM1;27;27
YMR154C;RIM13;2;2
YMR157C;FMP39;26;26
YMR159C;ATG16;56;56
YMR161W;HLJ1;56;56
YMR162C;DNF3;47;47
YMR163C;;10;10
YMR164C;MSS11;19;19
YMR165C;SMP2;72;72
YMR166C;;32;32
YMR167W;MLH1;10;10
YMR168C;CEP3;22;22
YMR169C;ALD3;34;34
YMR170C;ALD2;-2079;300
YMR172W;HOT1;3;3
YMR173W;DDR48;63;63
YMR174C;PAI3;-178;300
YMR175W;SIP18;34;34
YMR178W;;-102;300
YMR179W;SPT21;45;45
YMR180C;CTL1;114;114
YMR181C;;26;26
YMR182C;RGM1;-28810;300
YMR184W;;22;22
YMR186W;HSC82;109;109
YMR188C;MRPS17;81;81
YMR189W;GCV2;69;69
YMR192W;GYL1;19;19
YMR193W;MRPL24;433;433
YMR194W;RPL36A;214;214
YMR195W;ICY1;42;42
YMR196W;;346;346
YMR198W;CIK1;18;18
YMR199W;CLN1;6;6
YMR200W;ROT1;20;20
YMR201C;RAD14;31;31
YMR202W;ERG2;29;29
YMR204C;;30;30
YMR205C;PFK2;96;96
YMR208W;ERG12;43;43
YMR209C;;52;52
YMR213W;CEF1;28;28
YMR214W;SCJ1;67;67
YMR215W;GAS3;17;17
YMR216C;SKY1;62;62
YMR218C;TRS130;131;131
YMR220W;ERG8;92;92
YMR222C;FSH2;7;7
YMR223W;UBP8;11;11
YMR224C;MRE11;7;7
YMR225C;MRPL44;51;51
YMR226C;;47;47
YMR227C;TAF7;55;55
YMR228W;MTF1;36;36
YMR229C;RRP5;15;15
YMR230W;RPS10B;1448;1448
YMR231W;PEP5;64;64
YMR233W;;106;106
YMR234W;RNH1;25;25
YMR235C;RNA1;34;34
YMR236W;TAF9;93;93
YMR237W;BCH1;46;46
YMR239C;RNT1;103;103
YMR240C;CUS1;54;54
YMR241W;YHM2;21;21
YMR242C;RPL20A;137;137
YMR243C;ZRC1;35;35
YMR244C-A;;33;33
YMR247C;;3;3
YMR250W;GAD1;62;62
YMR251W-A;HOR7;22;22
YMR252C;;-157;300
YMR253C;;17;17
YMR255W;GFD1;66;66
YMR257C;PET111;26;26
YMR258C;;53;53
YMR259C;;89;89
YMR260C;TIF11;32;32
YMR261C;TPS3;22;22
YMR262W;;39;39
YMR263W;SAP30;-263;300
YMR264W;CUE1;25;25
YMR266W;RSN1;42;42
YMR267W;PPA2;357;357
YMR268C;PRP24;52;52
YMR269W;;23;23
YMR270C;RRN9;9;9
YMR271C;URA10;32;32
YMR272C;SCS7;77;77
YMR273C;ZDS1;24;24
YMR275C;BUL1;10;10
YMR276W;DSK2;50;50
YMR277W;FCP1;20;20
YMR278W;;26;26
YMR280C;CAT8;11;11
YMR281W;GPI12;52;52
YMR282C;AEP2;45;45
YMR283C;RIT1;52;52
YMR284W;YKU70;20;20
YMR285C;NGL2;22;22
YMR286W;MRPL33;-131;300
YMR287C;MSU1;35;35
YMR288W;HSH155;27;27
YMR289W;ABZ2;-456;300
YMR290W-A;;209;209
YMR291W;;14;14
YMR292W;GOT1;8;8
YMR293C;;85;85
YMR296C;LCB1;-167;300
YMR297W;PRC1;13;13
YMR299C;DYN3;161;161
YMR301C;ATM1;34;34
YMR302C;PRP12;46;46
YMR303C;ADH2;41;41
YMR304W;UBP15;20;20
YMR305C;SCW10;18;18
YMR308C;PSE1;88;88
YMR309C;NIP1;-1457;300
YMR310C;;18;18
YMR311C;GLC8;53;53
YMR313C;TGL3;21;21
YMR314W;PRE5;-68;300
YMR315W;;53;53
YMR316W;DIA1;20;20
YMR318C;ADH6;57;57
YMR319C;FET4;116;116
YMR322C;SNO4;3;3
YNL001W;DOM34;106;106
YNL002C;RLP7;96;96
YNL003C;PET8;29;29
YNL004W;HRB1;3;3
YNL005C;MRP7;26;26
YNL006W;LST8;37;37
YNL007C;SIS1;274;274
YNL008C;ASI3;44;44
YNL009W;IDP3;13;13
YNL010W;;97;97
YNL011C;;28;28
YNL014W;HEF3;3;3
YNL015W;PBI2;106;106
YNL016W;PUB1;72;72
YNL020C;ARK1;37;37
YNL022C;;49;49
YNL023C;FAP1;89;89
YNL024C;;13;13
YNL025C;SSN8;240;240
YNL027W;CRZ1;10;10
YNL029C;KTR5;16;16
YNL030W;HHF2;167;167
YNL031C;HHT2;223;223
YNL032W;SIW14;516;516
YNL035C;;72;72
YNL036W;NCE103;14;14
YNL037C;IDH1;29;29
YNL039W;BDP1;13;13
YNL040W;;15;15
YNL041C;COG6;101;101
YNL044W;YIP3;44;44
YNL046W;;29;29
YNL047C;SLM2;49;49
YNL048W;ALG11;152;152
YNL051W;COG5;28;28
YNL052W;COX5A;250;250
YNL053W;MSG5;15;15
YNL056W;;-137;300
YNL059C;ARP5;38;38
YNL061W;NOP2;886;886
YNL062C;GCD10;69;69
YNL063W;;92;92
YNL064C;YDJ1;34;34
YNL066W;SUN4;57;57
YNL067W;RPL9B;-1032;300
YNL068C;FKH2;26;26
