gene,L,x,b,B,g,w,P,Pz,Ps,T,I,E,mean_E,h,m,queue
YAL030W,118,1.55,379.83,589.54,3.7904,4.47,1.518676e-04,4.311430e-05,5.346457e-02,36036,6585,29451,249.6,1733602,2501060,0
YAL031C,761,0.93,321.45,297.68,0.5599,4.26,2.312052e-05,2.572364e-05,1.364230e-02,227528,43252,184276,242.1,9636952,13903183,0
YAL032C,380,1.45,NA,NA,0.9243,3.51,3.942751e-05,4.028908e-05,1.485369e-02,114444,25363,89081,234.4,NA,NA,0
YAL033W,174,8.17,41.88,342.02,0.5799,1.01,2.001164e-05,2.268662e-04,1.338860e-03,100391,49971,50420,289.8,1450514,2092650,0
YAL034W-A,290,1.35,111.95,151.60,0.6613,1.92,2.574297e-05,3.761644e-05,1.038731e-02,113343,38846,74497,256.9,3014255,4348650,0
YAL035W,1003,5.67,6037.34,34260.46,4.7751,47.89,2.940129e-04,1.576323e-04,2.831024e-02,166300,3401,162899,162.4,14233261,20534255,1
YAL036C,370,8.31,1826.14,15175.33,1.2247,4.53,6.871947e-05,2.308347e-04,4.518570e-03,80494,14552,65942,178.2,18419602,26573869,0
YAL038W,501,76.41,183063.70,13987600.00,8.3498,41.83,8.290549e-04,2.122454e-03,5.928807e-03,51664,1206,50458,100.7,153053937,220810156,2
YAL039C,270,1.97,17.18,33.88,0.7506,2.03,3.113088e-05,5.476494e-05,8.628019e-03,97220,32122,65098,241.1,382614,551995,0
YAL040C,581,0.65,578.63,378.42,0.7098,4.12,3.517773e-05,1.816660e-05,2.939114e-02,145653,28427,117226,201.8,11401344,16448663,0
YAL041W,855,1.84,905.85,1666.81,0.7587,6.49,3.064329e-05,5.111256e-05,9.099763e-03,244327,32634,211693,247.6,20490246,29561176,0
YAL042W,416,14.87,100.26,1491.33,0.4706,1.96,1.827343e-05,4.131668e-04,6.713003e-04,161850,54724,107126,257.5,3803210,5486872,0
YAL043C,786,1.12,753.71,847.91,1.3443,10.57,5.454937e-05,3.124931e-05,2.649547e-02,212027,18332,193695,246.4,9577255,13817059,0
YAL044C,171,39.16,18.74,733.94,0.7815,1.34,3.454458e-05,1.087898e-03,4.819633e-04,67635,28948,38687,226.2,376023,542486,0
YAL044W-A,111,3.15,53.87,169.50,1.5158,1.68,7.661450e-05,8.740059e-05,1.330512e-02,35013,13052,21961,197.8,487365,703120,0
YAL046C,119,3.40,18.05,61.36,1.5925,1.90,6.171492e-05,9.443517e-05,9.919247e-03,46911,16204,30707,258.0,202724,292468,0
YAL047C,623,0.81,126.42,102.28,0.9909,6.17,4.045870e-05,2.247335e-05,2.732539e-02,177295,24717,152578,244.9,2165885,3124711,0
YAL048C,663,0.61,143.97,87.11,0.6599,4.37,2.879633e-05,1.680665e-05,2.600629e-02,186652,34727,151925,229.1,3465463,4999606,0
YAL049C,247,4.82,157.04,757.15,1.0946,2.70,5.558322e-05,1.339236e-04,6.299541e-03,66633,17991,48642,196.9,1958406,2825383,0
YAL051W,1048,0.64,797.88,512.54,1.0831,11.35,4.769561e-05,1.784387e-05,4.057062e-02,258955,20966,237989,227.1,11595311,16728498,0
YAL053W,784,1.99,725.90,1441.89,1.0904,8.55,5.118491e-05,5.517638e-05,1.408027e-02,186552,19537,167015,213.0,9830166,14181931,0
YAL055W,181,1.18,41.47,48.85,1.1244,2.04,4.020406e-05,3.271864e-05,1.865078e-02,75496,24873,50623,279.7,715041,1031586,0
YAL056W,881,2.51,78.47,197.02,0.1468,1.29,6.149241e-06,6.974700e-05,1.338192e-03,372873,162622,210251,238.7,8844983,12760614,0
YAL058W,503,1.70,372.19,632.49,0.4440,2.23,1.961639e-05,4.720494e-05,6.307451e-03,164840,50978,113862,226.4,13151378,18973427,0
YAL059W,213,9.77,95.11,928.98,0.6338,1.35,3.155133e-05,2.713166e-04,1.765077e-03,74478,31694,42784,200.9,2089475,3014475,0
YAL060W,383,4.92,190.54,936.74,0.7188,2.75,3.596755e-05,1.365621e-04,3.997633e-03,104345,27803,76542,199.8,3672000,5297576,0
YAL061W,418,0.62,154.25,95.38,0.7536,3.15,3.388594e-05,1.717687e-05,2.994318e-02,122466,29511,92955,222.4,3155210,4552006,0
YAR002C-A,220,15.71,587.47,9227.23,0.9279,2.04,6.057142e-05,4.362980e-04,2.107205e-03,50211,16509,33702,153.2,6722694,9698797,0
YAR002W,540,3.04,2151.61,6539.02,1.3177,7.12,6.031823e-05,8.442028e-05,1.084486e-02,134547,16579,117968,218.5,24725221,35670953,0
YAR003W,427,3.47,35.61,123.61,0.2695,1.15,1.066109e-05,9.643113e-05,1.678057e-03,201754,93799,107955,252.8,2315126,3340021,0
YAR007C,622,2.88,1688.05,4862.82,2.0347,12.66,1.019941e-04,8.002031e-05,1.934627e-02,133889,9804,124085,199.5,11471916,16550477,0
YAR008W,276,3.91,200.23,783.85,0.1849,0.51,7.651930e-06,1.087459e-04,1.068023e-03,197374,130686,66688,241.6,18137315,26166614,0
YAR014C,708,2.67,364.38,973.90,0.6915,4.90,2.822769e-05,7.424435e-05,5.770776e-03,208860,35426,173434,245.0,8947475,12908478,0
YAR015W,307,22.21,161.92,3596.80,1.0861,3.33,5.410440e-05,6.170241e-04,1.330923e-03,80111,18483,61628,200.7,2074457,2992809,0
YAR018C,436,0.91,196.28,178.11,1.1739,5.12,4.957646e-05,2.520733e-05,2.985183e-02,123412,20171,103241,236.8,2744208,3959055,0
YAR019C,975,0.30,446.95,133.12,0.4472,4.36,1.944232e-05,8.273286e-06,3.566912e-02,275677,51434,224243,230.0,15934378,22988449,0
YAR027W,236,7.18,16.50,118.40,0.5130,1.21,2.048919e-05,1.993701e-04,1.559866e-03,107899,48806,59093,250.4,558078,805137,0
YAR028W,235,3.90,9.94,38.79,0.4140,0.97,1.784917e-05,1.083595e-04,2.500192e-03,110538,56025,54513,232.0,386192,557157,0
YAR042W,1189,0.54,211.93,114.83,1.5117,17.97,7.185506e-05,1.505053e-05,7.246493e-02,264065,13917,250148,210.4,2044420,2949475,0
YBL001C,105,15.95,32.09,511.86,1.1511,1.21,6.913517e-05,4.430664e-04,2.368386e-03,31946,14464,17482,166.5,321740,464173,0
YBL002W,132,47.11,434.41,20466.49,2.5241,3.33,1.971587e-04,1.308697e-03,2.286647e-03,21971,5072,16899,128.0,1527254,2203361,0
YBL004W,2494,1.12,665.34,742.61,1.8498,46.13,8.116847e-05,3.100375e-05,3.973703e-02,580687,12320,568367,227.9,5681770,8197061,0
YBL005W,977,0.61,720.01,435.80,0.6503,6.35,2.790200e-05,1.681291e-05,2.518923e-02,263551,35840,227711,233.1,17886664,25805002,0
YBL006C,181,12.23,4.12,50.38,0.3407,0.62,1.123150e-05,3.397088e-04,5.018262e-04,143939,89035,54904,303.3,254228,366774,0
YBL007C,1245,1.26,4943.64,6238.08,5.9926,74.61,2.954981e-04,3.505108e-05,1.279604e-01,255864,3384,252480,202.8,11596253,16729856,1
YBL008W,841,1.17,1124.88,1320.46,0.6121,5.15,2.654024e-05,3.260751e-05,1.235405e-02,231649,37679,193970,230.6,29378213,42383802,0
YBL009W,677,0.67,3837.33,2557.98,2.3461,15.88,9.894177e-05,1.851682e-05,8.110275e-02,170639,10107,160532,237.1,26882820,38783710,0
YBL010C,281,2.35,151.85,357.46,0.5134,1.44,2.019760e-05,6.539199e-05,4.688108e-03,120937,49511,71426,254.2,5211118,7518054,0
YBL011W,760,1.41,885.29,1251.34,0.9019,6.85,4.062437e-05,3.926329e-05,1.570443e-02,193349,24616,168733,222.0,15105170,21792154,0
YBL014C,895,1.32,73.73,97.64,0.1053,0.94,4.399951e-06,3.678631e-05,1.815449e-03,441553,227275,214278,239.4,11615273,16757297,0
YBL015W,527,0.97,NA,NA,1.7458,9.20,8.186731e-05,2.684012e-05,4.629652e-02,124597,12215,112382,213.2,NA,NA,0
YBL016W,354,2.96,289.46,858.10,0.7710,2.73,2.906325e-05,8.234725e-05,5.356948e-03,128314,34408,93906,265.3,6903432,9959546,0
YBL017C,1580,1.54,NA,NA,2.2315,35.26,1.033381e-04,4.284972e-05,3.660451e-02,350863,9677,341186,215.9,NA,NA,0
YBL018C,134,8.19,9.05,74.12,0.5368,0.72,2.755604e-05,2.275777e-04,1.837847e-03,62394,36290,26104,194.8,227582,328331,0
YBL019W,521,1.33,NA,NA,0.2303,1.20,9.349402e-06,3.699549e-05,3.835812e-03,235307,106959,128348,246.3,NA,NA,0
YBL020W,575,2.95,420.00,1237.38,0.3685,2.12,1.563424e-05,8.183711e-05,2.899671e-03,199498,63962,135536,235.7,18620820,26864164,0
YBL021C,145,4.53,3.34,15.15,0.4482,0.65,1.566102e-05,1.259407e-04,1.887453e-03,105352,63853,41499,286.2,147876,213340,0
YBL022C,1134,1.31,1682.13,2200.99,3.4534,39.16,1.593477e-04,3.634585e-05,6.654469e-02,252040,6276,245764,216.7,7317118,10556369,0
YBL023C,869,1.17,888.80,1039.44,1.2974,11.27,6.288964e-05,3.248583e-05,2.938377e-02,195169,15901,179268,206.3,9796033,14132688,0
YBL024W,685,3.96,4315.66,17109.53,2.7494,18.83,1.537242e-04,1.101257e-04,2.118731e-02,129018,6505,122513,178.9,19459444,28074043,0
YBL025W,146,5.28,15.69,82.83,0.4084,0.60,1.495503e-05,1.465961e-04,1.548414e-03,106733,66867,39866,273.1,727423,1049449,0
YBL026W,96,12.63,190.28,2403.85,1.5319,1.47,6.228427e-05,3.509311e-04,2.693884e-03,39666,16055,23611,245.9,2117534,3054956,0
YBL028C,107,26.74,184.31,4929.39,0.9407,1.01,5.717649e-05,7.429017e-04,1.168177e-03,35094,17490,17604,164.5,2234432,3223605,0
YBL029C-A,95,3.53,10.23,36.14,0.7437,0.71,3.515051e-05,9.818285e-05,5.433983e-03,48548,28449,20099,211.6,201641,290906,0
YBL029W,377,0.79,NA,NA,0.7542,2.84,2.854207e-05,2.195617e-05,1.973109e-02,134655,35036,99619,264.2,NA,NA,0
YBL030C,319,3.72,3901.29,14508.15,8.7610,27.95,6.717171e-04,1.033003e-04,9.869772e-02,43095,1489,41606,130.4,4025754,5807936,1
YBL031W,339,0.82,565.86,466.50,1.3045,4.42,5.261914e-05,2.290018e-05,3.487604e-02,103049,19004,84045,247.9,7454024,10753884,0
YBL032W,382,2.94,1575.88,4634.46,3.3209,12.69,1.629517e-04,8.169113e-05,3.027655e-02,83987,6137,77850,203.8,6703297,9670814,0
YBL033C,346,2.57,145.45,373.53,0.7981,2.76,3.060350e-05,7.133526e-05,6.511622e-03,122913,32676,90237,260.8,3294377,4752781,0
YBL034C,1514,0.32,NA,NA,2.0774,31.45,8.959464e-05,8.865876e-06,1.533849e-01,362207,11161,351046,231.9,NA,NA,0
YBL035C,706,0.62,1613.01,994.94,2.5690,18.14,1.091606e-04,1.713389e-05,9.670132e-02,175310,9161,166149,235.3,10242298,14776513,0
YBL036C,258,11.00,313.81,3451.73,0.7022,1.81,3.442112e-05,3.055353e-04,1.709960e-03,81685,29052,52633,204.0,6319365,9116917,0
YBL037W,1026,0.58,2193.25,1275.43,1.7411,17.86,7.348213e-05,1.615349e-05,6.904587e-02,256710,13609,243101,236.9,20688638,29847396,0
YBL038W,233,7.87,7.89,62.06,0.5884,1.37,2.713174e-05,2.185740e-04,1.884089e-03,87387,36857,50530,216.9,201500,290702,0
YBL039C,580,13.73,2775.39,38094.35,1.4128,8.19,8.397139e-05,3.812717e-04,3.342867e-03,109492,11909,97583,168.2,22909606,33051575,0
YBL040C,220,19.19,55.57,1066.40,0.3845,0.85,1.896295e-05,5.330710e-04,5.399371e-04,97337,52734,44603,202.7,2031191,2930389,0
YBL041W,242,7.15,231.71,1657.24,2.2103,5.35,1.037541e-04,1.986742e-04,7.926582e-03,61191,9638,51553,213.0,1547969,2233247,0
YBL042C,640,2.07,248.20,512.74,0.9897,6.33,4.628185e-05,5.738417e-05,1.224168e-02,158465,21607,136858,213.8,3717243,5362848,0
YBL045C,458,3.15,6068.17,19117.73,2.5648,11.75,1.459536e-04,8.751370e-05,2.531402e-02,87333,6851,80482,175.7,28818298,41576016,0
YBL046W,442,2.60,170.67,443.04,0.4962,2.19,1.990686e-05,7.211054e-05,4.190118e-03,160407,50234,110173,249.3,5942495,8573208,0
YBL047C,1382,0.99,5255.94,5191.72,6.5231,90.15,3.216194e-04,2.743842e-05,1.779121e-01,283408,3109,280299,202.8,11327477,16342095,1
YBL050W,293,8.37,847.33,7089.18,0.9616,2.82,4.161268e-05,2.324029e-04,2.717731e-03,91740,24031,67709,231.1,14114056,20362278,0
YBL051C,669,0.84,20570.36,17365.43,5.2440,35.08,2.613852e-04,2.344990e-05,1.691852e-01,138042,3826,134216,200.6,54548945,78697493,1
YBL052C,832,1.93,331.70,638.78,0.2275,1.89,9.916121e-06,5.349381e-05,2.813589e-03,291765,100846,190919,229.5,23186291,33450747,0
YBL054W,526,2.21,NA,NA,0.8370,4.40,3.420089e-05,6.144535e-05,8.448328e-03,157969,29239,128730,244.7,NA,NA,0
YBL055C,419,3.97,38.00,150.93,0.2851,1.19,1.139916e-05,1.103344e-04,1.568138e-03,192514,87726,104788,250.1,2310513,3333365,0
YBL056W,469,10.33,248.09,2563.43,0.5473,2.57,2.639546e-05,2.870156e-04,1.395873e-03,135122,37885,97237,207.3,6514933,9399061,0
YBL057C,215,8.01,21.15,169.40,0.5074,1.09,2.090698e-05,2.225261e-04,1.426043e-03,100015,47831,52184,242.7,701058,1011414,0
YBL058W,424,6.59,230.79,1521.82,1.9167,8.13,8.610150e-05,1.831656e-04,7.134920e-03,106002,11614,94388,222.6,1857939,2680439,0
YBL059C-A,110,6.61,NA,NA,1.0305,1.13,5.165401e-05,1.835708e-04,4.270933e-03,41306,19360,21946,199.5,NA,NA,0
YBL059W,194,1.37,87.27,119.96,0.9364,1.82,3.484597e-05,3.818430e-05,1.385128e-02,80830,28698,52132,268.7,1735956,2504456,0
YBL060W,688,1.83,142.84,261.37,0.2261,1.56,9.729653e-06,5.082710e-05,2.905523e-03,262681,102779,159902,232.4,10176199,14681152,0
YBL061C,697,3.52,618.55,2175.85,0.5316,3.71,2.239194e-05,9.771337e-05,3.478244e-03,210147,44659,165488,237.4,19147261,27623658,0
YBL063W,1112,0.46,675.57,312.77,0.9313,10.36,3.885855e-05,1.286044e-05,4.586200e-02,292236,25734,266502,239.7,12050663,17385431,0
YBL064C,262,1.95,213.78,417.11,1.9833,5.20,9.512120e-05,5.419797e-05,2.663892e-02,65140,10513,54627,208.5,1557808,2247442,0
YBL067C,748,1.41,1039.87,1471.37,0.7928,5.93,3.648870e-05,3.930451e-05,1.409089e-02,189916,27406,162510,217.3,19753501,28498278,0
YBL068W,328,6.11,1011.70,6180.11,1.0245,3.36,5.036621e-05,1.696853e-04,4.505234e-03,86571,19855,66716,203.4,13923102,20086790,0
YBL069W,430,1.66,278.00,462.12,1.5301,6.58,6.882106e-05,4.617574e-05,2.262194e-02,110135,14530,95605,222.3,2799902,4039405,0
YBL071W-A,83,5.59,149.81,837.25,2.2933,1.90,9.938192e-05,1.552412e-04,9.716788e-03,29215,10062,19153,230.8,1044879,1507441,0
YBL074C,356,1.50,63.27,94.66,0.3657,1.30,1.546070e-05,4.155989e-05,5.646472e-03,148884,64680,84204,236.5,2836530,4092248,0
YBL075C,650,1.47,259.33,380.09,0.2621,1.70,1.150431e-05,4.071316e-05,4.288922e-03,235021,86924,148097,227.8,15624879,22541935,0
YBL076C,1073,9.01,4886.94,44008.61,3.0614,32.85,1.962734e-04,2.501484e-04,1.190929e-02,172456,5095,167361,156.0,17258438,24898662,0
YBL078C,118,1.54,171.23,263.01,2.3972,2.83,9.894645e-05,4.266846e-05,3.519780e-02,38694,10106,28588,242.3,1199487,1730494,0
YBL079W,1503,1.27,2176.14,2764.15,1.0883,16.36,4.905390e-05,3.528356e-05,2.110199e-02,353827,20386,333441,221.9,30749493,44362140,0
YBL080C,542,1.22,48.08,58.51,0.2271,1.23,9.602348e-06,3.380599e-05,4.311279e-03,232351,104141,128210,236.5,3470689,5007145,0
YBL082C,459,1.86,169.49,314.63,0.6272,2.88,2.657694e-05,5.156390e-05,7.823149e-03,145946,37627,108319,236.0,4420467,6377386,0
YBL085W,981,1.36,920.21,1250.55,1.1164,10.95,4.633685e-05,3.774966e-05,1.863098e-02,257927,21581,236346,240.9,13765245,19859051,0
YBL086C,467,1.69,140.42,237.96,0.6753,3.15,2.804502e-05,4.707293e-05,9.042881e-03,148099,35657,112442,240.8,3470548,5006942,0
YBL088C,2788,0.28,50.43,13.90,0.2534,7.07,1.064765e-05,7.657393e-06,2.110547e-02,757510,93917,663593,238.0,3283031,4736412,0
YBL089W,460,2.60,NA,NA,0.2919,1.34,1.153735e-05,7.231950e-05,2.421436e-03,203063,86675,116388,253.0,NA,NA,0
YBL090W,178,7.50,7.18,53.83,0.7486,1.33,2.909917e-05,2.082334e-04,2.121058e-03,80155,34365,45790,257.2,171039,246757,0
YBL091C,422,4.14,6319.41,26186.72,2.3362,9.86,1.188091e-04,1.151070e-04,1.566644e-02,91397,8417,82980,196.6,36868253,53189646,0
YBL091C-A,176,1.27,2.51,3.19,1.6065,2.83,6.834857e-05,3.532643e-05,2.936649e-02,56000,14631,41369,235.1,25423,36677,0
YBL092W,131,134.55,2414.77,324902.00,4.9343,6.46,4.949407e-04,3.737437e-03,2.010026e-03,15080,2020,13060,99.7,3381803,4878910,0
YBL093C,221,12.79,39.82,509.14,0.3393,0.75,1.257795e-05,3.552103e-04,5.374607e-04,139122,79504,59618,269.8,2194133,3165464,0
YBL095W,271,4.48,2.10,9.40,0.1233,0.33,5.080834e-06,1.245234e-04,6.193075e-04,262600,196818,65782,242.7,285960,412553,0
YBL097W,755,0.92,NA,NA,0.8490,6.41,3.743766e-05,2.553941e-05,2.224949e-02,197923,26711,171212,226.8,NA,NA,0
YBL098W,461,3.28,1559.17,5121.14,0.5541,2.55,2.716548e-05,9.123665e-05,4.519292e-03,130847,36811,94036,204.0,39783500,57395458,0
YBL099W,546,3.56,8219.72,29234.86,5.7686,31.50,4.218237e-04,9.879644e-05,6.480552e-02,77038,2371,74667,136.8,13506779,19486164,1
YBL101C,1118,0.34,2014.76,680.37,2.0239,22.63,8.527628e-05,9.380421e-06,1.379838e-01,277073,11727,265346,237.3,16376453,23626228,0
YBL102W,216,9.63,42.70,411.26,0.4633,1.00,1.658286e-05,2.675599e-04,9.407205e-04,120649,60303,60346,279.4,1784684,2574754,0
YBL103C,487,1.83,281.84,516.04,0.6777,3.30,3.031998e-05,5.086040e-05,9.048392e-03,141837,32982,108855,223.5,6443184,9295550,0
YBL104C,1039,0.67,1589.36,1070.19,0.7424,7.71,3.269094e-05,1.870412e-05,2.652849e-02,266551,30590,235961,227.1,33699296,48617807,0
YBL105C,1152,0.91,2219.75,2009.49,1.6809,19.36,7.733657e-05,2.514666e-05,4.667958e-02,263318,12930,250388,217.4,19895022,28702449,0
YBL106C,1011,0.49,134.17,65.17,0.6103,6.17,2.600222e-05,1.349151e-05,2.925312e-02,275733,38458,237275,234.7,3576617,5159968,0
YBL107C,197,5.55,71.34,395.68,0.5988,1.18,2.227001e-05,1.540638e-04,2.194027e-03,97872,44903,52969,268.9,2220497,3203500,0
YBR001C,781,0.97,1066.19,1034.15,1.0746,8.39,4.594305e-05,2.694300e-05,2.588190e-02,204447,21766,182681,233.9,16085738,23206815,0
YBR002C,287,5.84,54.28,317.04,0.3099,0.89,1.210089e-05,1.622384e-04,1.132103e-03,156130,82639,73491,256.1,3109355,4485851,0
YBR003W,474,1.70,193.83,330.09,0.7239,3.43,3.304863e-05,4.730629e-05,1.060369e-02,134079,30258,103821,219.0,4065254,5864921,0
YBR004C,434,1.51,NA,NA,0.8821,3.83,4.184706e-05,4.203674e-05,1.510978e-02,115379,23897,91482,210.8,NA,NA,0
YBR005W,214,3.25,6.33,20.58,0.6178,1.32,2.070735e-05,9.024549e-05,3.482742e-03,112136,48292,63844,298.3,212045,305917,0
YBR006W,498,1.04,57.15,59.34,0.5699,2.84,2.822902e-05,2.884246e-05,1.485545e-02,135955,35425,100530,201.9,1403247,2024457,0
YBR007C,737,0.77,440.19,338.93,0.8801,6.49,3.696293e-05,2.138776e-05,2.623151e-02,202539,27054,175485,238.1,8254609,11908883,0
YBR008C,549,0.93,NA,NA,0.0098,0.05,4.658057e-07,2.589929e-05,2.729853e-04,2261813,2146818,114995,209.5,NA,NA,0
YBR014C,204,7.46,267.59,1996.37,0.7843,1.60,3.332228e-05,2.072368e-04,2.440564e-03,78024,30010,48014,235.4,5566237,8030383,0
YBR015C,598,1.48,2764.10,4098.23,2.8671,17.15,1.292990e-04,4.118517e-05,4.765152e-02,140337,7734,132603,221.7,14817798,21377563,0
YBR016W,129,2.65,241.37,639.29,3.6252,4.68,1.294250e-04,7.357009e-05,2.670171e-02,43859,7726,36133,280.1,1292704,1864978,0
YBR017C,919,2.80,2050.34,5742.33,1.2768,11.73,5.476867e-05,7.779659e-05,1.068548e-02,232501,18259,214242,233.1,25948860,37436291,0
YBR021W,634,0.45,178.70,79.59,0.5660,3.59,2.975616e-05,1.237151e-05,3.650702e-02,154199,33606,120593,190.2,4162614,6005382,0
YBR022W,178,4.91,28.48,139.81,0.5316,0.95,2.406298e-05,1.363580e-04,2.678496e-03,80879,41558,39321,220.9,820405,1183594,0
YBR023C,1166,2.67,289.83,775.05,0.6327,7.38,2.904502e-05,7.428293e-05,5.934784e-03,288414,34429,253985,217.8,6916614,9978564,0
YBR024W,302,1.41,127.49,180.27,0.9591,2.90,4.234412e-05,3.927681e-05,1.636361e-02,92016,23616,68400,226.5,2086980,3010876,0
YBR025C,395,23.60,7338.08,173144.20,2.8845,11.39,2.308095e-04,6.554253e-04,5.345062e-03,53698,4333,49365,125.0,22037085,31792793,0
YBR026C,381,2.46,647.24,1594.86,1.7289,6.59,7.804593e-05,6.844662e-05,1.730695e-02,97215,12813,84402,221.5,5748340,8293102,0
YBR028C,526,1.95,1514.93,2955.93,0.5985,3.15,2.745872e-05,5.420005e-05,7.689585e-03,151074,36418,114656,218.0,38241745,55171176,0
YBR029C,458,1.61,2631.16,4228.08,2.2529,10.32,1.043854e-04,4.463683e-05,3.549514e-02,108430,9580,98850,215.8,17471613,25206209,0
YBR030W,553,2.44,220.83,538.43,0.3223,1.78,1.487227e-05,6.772652e-05,3.333043e-03,187066,67239,119827,216.7,10292344,14848713,0
YBR034C,349,13.46,491.78,6617.19,0.6190,2.16,3.457022e-05,3.737626e-04,1.403876e-03,91415,28927,62488,179.0,9860485,14225672,0
YBR035C,229,7.10,81.18,576.12,1.7854,4.09,8.493319e-05,1.971393e-04,6.539229e-03,59913,11774,48139,210.2,662500,955786,0
YBR036C,411,5.31,733.44,3892.39,1.1197,4.60,4.574018e-05,1.474164e-04,4.709496e-03,122472,21863,100609,244.8,11114631,16035023,0
YBR037C,296,1.67,92.85,155.44,0.9071,2.68,3.559072e-05,4.650243e-05,1.161672e-02,103537,28097,75440,254.9,1808270,2608783,0
YBR038W,964,0.56,49264.44,27656.64,4.1990,40.48,2.065777e-04,1.559421e-05,2.010677e-01,200787,4841,195946,203.3,165301062,238479022,1
YBR039W,312,4.93,1077.81,5309.07,3.1652,9.88,2.027442e-04,1.368274e-04,2.249042e-02,53641,4932,48709,156.1,3684853,5316119,0
YBR041W,670,2.26,374.25,847.63,0.8689,5.82,4.373317e-05,6.291402e-05,1.055081e-02,155978,22866,133112,198.7,5931620,8557519,0
YBR042C,398,5.92,234.55,1389.50,0.3707,1.48,1.555443e-05,1.645560e-04,1.434705e-03,159141,64290,94851,238.3,10452319,15079509,0
YBR043C,690,2.78,16.93,47.03,0.0573,0.40,2.529624e-06,7.713552e-05,4.977645e-04,551733,395316,156417,226.7,4640375,6694646,0
YBR044C,574,2.50,62.50,156.30,0.2575,1.48,1.118221e-05,6.946548e-05,2.443323e-03,221590,89428,132162,230.2,3874112,5589162,0
YBR046C,335,1.63,2071.38,3374.51,2.3427,7.85,1.052587e-04,4.525306e-05,3.530467e-02,84060,9500,74560,222.6,13640438,19678992,0
YBR047W,176,2.29,9.81,22.45,0.2605,0.46,1.248296e-05,6.355113e-05,2.981376e-03,116833,80109,36724,208.7,544849,786051,0
