ORF,Length,RPF,mRNA,TE,IP
YBL005W,976,5.413,15.2953,0.353899563918328,0.000654898517792851
YBL006C,180,57.127,309.0451,0.184850042922538,0.000237804201913324
YBL007C,1244,104.0039,31.8872,3.26161908226498,0.00713954323716175
YBL008W,840,9.8806,29.6642,0.333081627011684,0.000618589389696585
YBL008WA,79,2.556,4.9654,0.514762154106416,0.000842283692738588
YBL009W,676,21.5011,16.8454,1.27637812103007,0.00226663311240806
YBL010C,280,16.5926,59.4894,0.278916916290969,0.000481025516473909
YBL011W,759,17.5286,35.7192,0.490733275101346,0.000952582871257909
YBL013W,401,6.8274,3.3158,2.05905060618855,0.00322455546712157
YBL014C,894,1.9184,33.4658,0.0573241936544173,0.000100115936716472
YBL015W,526,23.1846,24.4174,0.949511413991662,0.00193007294854356
YBL016W,353,31.3931,74.9142,0.419054064516474,0.000663931534984338
YBL017C,1579,47.3508,38.9819,1.21468681618905,0.00244361585859524
YBL018C,133,63.195,207.0355,0.305237507577203,0.000646811234600794
YBL019W,520,4.216,33.6561,0.125267039258856,0.000227143823799498
YBL020W,574,14.9238,74.4501,0.200453726724343,0.000362449451815286
YBL021C,144,27.8376,114.5727,0.242968874784307,0.0003629777323585
YBL022C,1133,62.1468,33.0651,1.87952856637361,0.00389213896465973
YBL023C,868,20.8637,29.5535,0.705963760637488,0.00150194907477417
YBL024W,684,149.854,100.1852,1.49576983426694,0.00365767079587353
YBL025W,145,29.5222,133.3636,0.221366249861282,0.000371069558848231
YBL026W,95,283.0316,319.2544,0.886539386771177,0.0018227821116691
YBL028C,106,344.0706,675.8439,0.509097736918244,0.00143550632179317
YBL029CA,94,35.9211,89.3204,0.402160088848684,0.000738560920881455
YBL029W,376,8.1892,19.9743,0.409986833080508,0.000667455216748585
YBL030C,318,447.4194,93.9759,4.76100149080775,0.0155808531787103
YBL031W,338,14.771,20.8331,0.709015940978539,0.00127362034004955
YBL032W,381,134.1652,74.3173,1.80530239930676,0.00361322710151733
YBL033C,345,28.1525,64.8962,0.433808142849658,0.000686945255954829
YBL034C,1513,9.1205,8.0656,1.13079002182107,0.00212897770840425
YBL035C,705,21.7858,15.5873,1.39766348245046,0.00258235782775429
YBL036C,257,106.0163,277.9562,0.381413690358409,0.00090831872453544
YBL037W,1025,13.9243,14.6954,0.947527797814282,0.00171316040772111
YBL038W,232,63.5327,198.8445,0.319509465939465,0.000654455156956684
YBL039C,579,266.5518,346.8563,0.768479050257989,0.00193701969902533
YBL039WB,59,18.1263,80.3293,0.22564991852288,0.000424662045831772
YBL040C,219,104.2158,484.9535,0.214898541818958,0.000433102620701794
YBL041W,241,216.9495,180.7409,1.20033429068905,0.00245079788299325
YBL042C,639,28.1067,52.2044,0.53839714660067,0.00109903730687321
YBL043W,257,0.7971,4.1293,0.193035139127697,0.000354264105655115
YBL044W,122,0,3.2389,0,0
YBL045C,457,111.0353,79.6143,1.39466527998111,0.00354548488299498
YBL046W,441,17.6998,65.6015,0.269807855003315,0.000475376926948489
YBL047C,1381,88.6286,24.9617,3.55058349391267,0.00752254031793737
YBL049W,138,0.9842,4.7798,0.20590819699569,0.000366711293180865
YBL050W,292,112.9005,211.4251,0.533997619014961,0.000991896513737232
YBL051C,668,60.8606,21.3332,2.85285845536535,0.00579513513953079
YBL052C,831,6.0255,48.6652,0.123815375257884,0.00023599664694185
YBL054W,525,25.4471,55.899,0.455233546217285,0.000793185546437128
YBL055C,418,15.5582,100.3751,0.155000592776495,0.000266947403518005
YBL056W,468,77.7043,261.1082,0.297594254029556,0.000630611762416543
YBL057C,208,55.7693,202.4398,0.275485848138558,0.000529901144257903
YBL058W,423,173.6567,166.6322,1.04215571780244,0.00208877270113335
YBL059CA,109,98.8117,167.0008,0.591683991932973,0.0012200755080981
YBL059W,193,18.2466,34.7376,0.525269448666575,0.000841977412713952
YBL060W,687,5.6886,46.2392,0.12302548486998,0.000223623533256379
YBL061C,696,25.7118,88.8933,0.289243396296459,0.0005158447239817
YBL063W,1111,5.9299,11.6996,0.506846387910698,0.00093215961245237
YBL064C,261,53.1167,49.3058,1.07729110976802,0.00227116605315955
YBL066C,1148,2.3315,4.4131,0.528313430468378,0.00097669366564631
YBL067C,747,15.4227,35.7567,0.431323360377216,0.000841404176011465
YBL068W,326,85.9461,154.3687,0.556758591605682,0.00119027925225266
YBL069W,429,34.9497,42.0077,0.831983184035308,0.00166725175134516
YBL071CB,32,0,49.5725,0,0
YBL071WA,82,174.9714,141.2284,1.2389250320757,0.00236483420239968
YBL074C,355,7.5152,37.8085,0.198770117830647,0.000370983930187447
YBL075C,649,5.2814,37.0382,0.142593322569671,0.000291777060756359
YBL076C,1072,379.1511,227.5688,1.66609438552209,0.00462584912272074
YBL078C,117,50.3884,38.817,1.29810134734781,0.00252971783754658
YBL079W,1502,19.0144,32.0987,0.592372899837065,0.00115756171806915
YBL080C,541,3.7995,30.7545,0.123542896161537,0.000218833893139747
YBL082C,458,15.9986,46.9095,0.341052452061949,0.000544411812663769
YBL085W,980,20.8637,34.3422,0.607523688057259,0.00109192980458985
YBL086C,466,15.7249,42.8239,0.367199157479819,0.000670219324533688
YBL088C,2787,0.9612,6.9662,0.137980534581264,0.000239494513050164
YBL089W,459,10.4436,65.7916,0.158737589601104,0.000274363458351086
YBL090W,177,76.9355,189.4373,0.406126459783791,0.000721565778549559
YBL091C,421,133.0134,104.7169,1.27021903818772,0.00285092701908913
YBL091CA,175,29.0518,32.1377,0.903978816156725,0.00152191416827204
YBL092W,130,9089.9763,3400.078,2.67346110883339,0.0116616850567748
YBL093C,220,59.5307,323.1473,0.184221560879512,0.0002965500751098
YBL095W,270,7.5897,113.2833,0.0669975186104218,0.00011953800245339
YBL097W,754,10.7323,23.2341,0.461920194885965,0.000909906326087323
YBL098W,460,25.0104,83.0012,0.301325763964858,0.000640688070676501
YBL099W,545,281.9985,89.8786,3.13754887147775,0.00947999960684421
YBL101C,1117,9.4001,8.5337,1.10152688751655,0.00198779667239146
YBL102W,215,61.2217,243.4087,0.251518125687373,0.00035571743928648
YBL103C,486,17.0531,46.2695,0.368560282691622,0.000720602623210975
YBL104C,1038,6.8751,17.0158,0.404042125553897,0.000772617479196544
YBL105C,1151,20.9288,22.8768,0.914848230521751,0.00181475063481868
YBL106C,1010,4.0762,12.2737,0.332108492141734,0.000605991607034073
YBL107C,196,45.5489,140.1573,0.324984142816678,0.000544292594251454
YBR001C,780,14.332,24.511,0.584717065807189,0.00106961265528848
YBR002C,286,24.8476,147.594,0.16835101697901,0.000295954376114995
YBR003W,473,16.9409,43.0362,0.393643026103606,0.000734062851651428
YBR004C,433,18.3418,38.2423,0.479620734108566,0.000944622023417497
YBR005W,213,27.5343,82.0995,0.3353771947454,0.000477768848905464
YBR006W,497,8.1317,26.239,0.30990891421167,0.000679294440117391
YBR007C,736,9.3171,19.4572,0.47885101659026,0.000831727566740137
YBR008C,548,0.125,23.5615,0.00530526494493135,1.05750013568203e-05
YBR011C,287,1950.6815,354.0623,5.50943012006644,0.0206692020424485
YBR013C,129,23.1434,22.4796,1.02952899517785,0.00152971464689451
YBR014C,203,80.2585,188.5306,0.425705429251273,0.000819703700069516
YBR015C,597,58.435,37.4676,1.55961417331241,0.00303042918516018
YBR016W,128,131.4508,66.9293,1.96402472459745,0.00278496828091408
YBR017C,918,49.174,70.7743,0.694800231157355,0.00129877126879516
YBR018C,366,0,10.3496,0,0
YBR019C,699,0.3924,1.3339,0.294174975635355,0.000613061555307173
YBR020W,528,0,2.7728,0,0
YBR021W,633,3.4653,11.2548,0.307895298006184,0.000674346494091754
YBR022W,177,35.775,124.0497,0.288392474951572,0.000520819358839313
YBR023C,1165,23.2697,67.5778,0.344339413239259,0.000665058975610485
YBR024W,301,18.6204,35.7315,0.521120020150288,0.000981779507964652
YBR025C,394,935.0503,596.2635,1.56818302646397,0.0056344213169069
YBR026C,380,58.5247,62.2683,0.939879521361592,0.00186815040508551
YBR028C,525,16.0513,49.3077,0.325533334550182,0.000634024649274495
YBR029C,457,49.7486,40.6077,1.22510262831926,0.00237426121900333
YBR030W,552,10.7997,61.6132,0.175282244713795,0.000337843790370878
YBR033W,919,0.2986,1.5952,0.187186559679037,0.000317507821619015
YBR034C,348,114.3955,340.025,0.336432615248879,0.00081281394093183
YBR035C,228,173.8674,179.3446,0.969459911254646,0.00197629096564227
YBR036C,410,81.64,134.1099,0.608754461825712,0.00106550024117335
YBR037C,295,20.8504,42.3049,0.492860165134535,0.0008109298443081
YBR038W,963,32.4171,14.1866,2.28505068162914,0.00456928110172817
YBR039W,311,214.1004,124.4767,1.72000382400883,0.00508944716110709
YBR040W,298,0.4587,6.906,0.0664205039096438,0.000127940825603708
YBR041W,669,27.0544,57.2351,0.472688961843344,0.000996735621027497
YBR042C,397,30.1695,149.7024,0.201529835193023,0.000343506836940408
YBR043C,689,2.1892,70.1729,0.0311972285597432,5.84197659495478e-05
YBR044C,572,8.8503,63.1952,0.14004702888827,0.000258251863709574
YBR045C,639,1.196,9.9904,0.119714926329276,0.000213087428699194
YBR046C,334,52.417,41.1683,1.27323693229985,0.00240815344612944
YBR047W,175,8.1697,57.8147,0.14130835237405,0.000298681350409997
YBR049C,810,64.6928,35.6132,1.81653993463098,0.00395801483294588
YBR050C,338,2.2258,6.0927,0.365322435045218,0.00063020279066216
YBR052C,210,104.5547,169.0493,0.618486441529187,0.00130856204933923
YBR053C,358,42.04,79.8122,0.526736513966536,0.00106295711039919
YBR054W,344,34.7953,27.0378,1.28691313642382,0.00384923435334136
YBR055C,899,10.607,38.2461,0.277335466884205,0.000522096314023191
YBR056W,501,25.705,66.1379,0.388657638056243,0.000904564899100216
YBR057C,366,40.1906,58.1028,0.691715373441555,0.00128089466442572
YBR058C,781,31.613,57.4889,0.549897458465895,0.00106641754707739
YBR058CA,80,300.4439,616.3504,0.487456323545827,0.000808331649181223
YBR059C,1108,23.6598,16.6042,1.42492863251467,0.00258260717474592
YBR060C,620,18.4629,29.1013,0.634435575043039,0.00113327929546119
YBR061C,310,55.5713,97.2449,0.571457217807823,0.00104547915158984
YBR062C,180,50.1748,149.6336,0.335317736123438,0.000648989489590443
YBR063C,404,0.1694,38.8368,0.00436184237630289,8.43296499992805e-06
YBR065C,364,15.7882,40.5293,0.389550275973185,0.000668597134639243
YBR066C,220,56.4301,138.5347,0.4073354906749,0.00070136943540579
YBR067C,210,462.0537,359.5453,1.28510565984314,0.00388123128652253
YBR068C,609,116.0365,388.4116,0.298746226940699,0.000612781010007015
YBR069C,619,88.2551,242.1131,0.364520135424312,0.000664978278436194
YBR070C,237,19.582,69.9277,0.28003209028754,0.000442597562258217
YBR071W,211,66.5745,62.7815,1.06041588684565,0.00179070044293853
YBR072CA,53,1.2572,8.5482,0.147071898177394,0.000233047636076634
YBR072W,214,24.2198,30.6446,0.790344791578288,0.00215584979511517
YBR073W,958,28.5113,44.7135,0.637644111957239,0.00117459373462539
YBR074W,976,21.6521,53.0556,0.408102066511358,0.000684013915870757
YBR076W,354,0.2017,4.5071,0.0447516141199441,8.06539558060632e-05
YBR077C,162,94.065,162.3394,0.579434197736347,0.00110092861724824
YBR078W,429,1475.7947,398.673,3.70176736322751,0.0121605692302255
YBR079C,964,214.8701,108.6742,1.97719513923268,0.00553945388376952
YBR080C,758,86.9442,46.0479,1.88812519137681,0.00413037212828553
YBR081C,1332,11.7497,23.9266,0.491072697332676,0.000982323759508948
YBR082C,148,610.889,353.5052,1.72809056274137,0.00466708926625531
YBR083W,486,31.1465,16.1533,1.92818185757709,0.00311630694622508
YBR084W,975,105.6269,132.2622,0.79861744323019,0.00169705546049494
YBR085CA,85,163.3636,472.9524,0.345412350164625,0.000684164749406768
YBR085W,307,18.9265,78.2925,0.241740907494332,0.00056448722050318
YBR086C,946,57.2943,46.0001,1.24552555320532,0.00247615686936288
YBR087W,354,36.7156,223.1721,0.164516980393158,0.000301455213745558
YBR088C,258,187.924,167.1084,1.12456345701353,0.00255145905737014
YBR091C,109,70.7992,134.5207,0.526307103665086,0.000759097381143744
YBR094W,753,18.943,48.476,0.390770690651044,0.000835972948307485
YBR095C,430,24.5195,55.6744,0.440408877329617,0.000824463928986548
YBR096W,230,81.5848,230.8182,0.353459129306095,0.000694603040985725
YBR097W,1454,3.7772,11.0065,0.343179030572843,0.000622120934386287
YBR098W,691,4.4651,18.119,0.246431922291517,0.000428285135986715
YBR101C,290,147.5121,294.8019,0.50037703284816,0.000978242611016775
YBR102C,753,21.4019,15.6574,1.3668872226551,0.00232018220565933
YBR103W,535,13.1908,95.9071,0.13753726262185,0.000228788347072233
YBR104W,329,32.4246,246.9092,0.131321959651564,0.000237695383715757
YBR105C,362,8.5045,17.2554,0.492860206080415,0.000833938663258751
YBR106W,188,933.0959,1555.7236,0.599782570631441,0.00194686225087774
YBR107C,245,3.3436,24.0869,0.138814044148479,0.000253110525059525
YBR108W,947,11.9539,5.7703,2.071625392094,0.00332529339378123
YBR109C,147,681.8965,338.1291,2.01667499188919,0.00430948434067527
YBR110W,449,26.9934,116.2828,0.232135793083758,0.000444515225415238
YBR111C,231,192.5988,253.354,0.760196405030116,0.0018298316564347
YBR111WA,96,118.8607,188.4922,0.630586835953955,0.00108140592420897
YBR114W,790,5.7298,11.4683,0.499620693563998,0.000935140830344124
YBR115C,1392,73.1345,27.016,2.70708098904353,0.00623648987640401
YBR117C,681,0.302,2.6403,0.114380941559671,0.00022898041412311
YBR119W,298,17.5728,40.2822,0.436242310499427,0.000685156583295006
YBR120C,162,49.972,79.1303,0.631515361372319,0.00130023213336859
YBR121C,667,320.7925,429.1992,0.747421011036367,0.00236393838171925
YBR122C,177,66.9338,276.1227,0.242406002838593,0.000510650902321768
YBR123C,649,20.3863,34.6784,0.58786737565747,0.00114748502452469
YBR125C,393,17.4144,67.9981,0.256101273417934,0.000486561863262765
YBR126C,495,127.1717,108.0668,1.17678787564728,0.00224298521592739
YBR127C,517,613.1281,362.5765,1.69103099621735,0.0046336742641675
YBR128C,344,1.5906,19.3127,0.0823603121262175,0.00012976344556265
YBR129C,328,25.8516,161.1904,0.160379278170412,0.000295156707962046
YBR130C,425,61.5339,42.558,1.44588326519103,0.00276515642177903
YBR131W,704,3.6036,21.6639,0.166341240496863,0.000302790528078247
YBR132C,596,13.7995,7.372,1.87188008681498,0.00354093096283076
YBR133C,827,9.1233,27.4711,0.332105376195347,0.00058804325519775
YBR135W,150,68.8801,77.0281,0.894220420859401,0.00152527412943702
YBR136W,2368,2.6393,5.1273,0.514754354143506,0.000944583517533798
YBR137W,179,78.7467,147.0639,0.535459075952698,0.00116045315485373
YBR138C,524,12.2902,33.654,0.365192844832709,0.000662642224679606
YBR139W,508,33.8476,28.6853,1.17996325644145,0.00221792011745239
YBR140C,3092,4.0878,7.8331,0.521862353346695,0.000949965580264295
YBR141C,337,13.7999,33.9045,0.407022666607677,0.000697028608955736
YBR142W,773,50.3047,77.386,0.650049104489184,0.00136716437505487
YBR143C,437,379.4718,617.1026,0.614924973578137,0.00169657755154444
YBR145W,351,13.0572,45.4306,0.287409807486584,0.000723813225268733
YBR146W,278,59.7181,100.4946,0.594241879663186,0.00106291184484881
YBR147W,296,0.4618,10.3164,0.0447636772517545,7.51098946860206e-05
YBR148W,609,7.7658,6.0126,1.29158766590161,0.00267103307243865
YBR149W,344,106.7719,72.4227,1.47428775784388,0.00335094962048272
YBR151W,316,44.5693,188.9249,0.235910142072326,0.000454264141771232
YBR152W,291,14.7947,24.6349,0.600558557168895,0.00112021188707611
YBR153W,244,12.5894,109.7833,0.114675000660392,0.000187815308220116
YBR154C,215,314.3559,656.8955,0.47854780554898,0.00118562065292682
YBR155W,385,76.9646,41.4358,1.8574421152723,0.00393256559261355
YBR156C,698,9.7249,8.4918,1.14521067382652,0.00217786864872715
YBR157C,255,30.7942,128.7469,0.239184011420857,0.000430000007082473
YBR158W,549,41.0627,247.1893,0.166118436356266,0.000285909252667744
YBR159W,347,145.2771,367.4225,0.395395219400009,0.000848233189430533
YBR160W,298,56.1911,168.6392,0.333203074967149,0.000696435993423667
YBR161W,376,12.5568,61.6905,0.203545116346925,0.000363527291120968
YBR162C,455,336.5213,143.261,2.34900845310308,0.00620542238852444
YBR162WA,65,570.1071,694.9474,0.820360073294756,0.00150351006289561
YBR163W,585,4.2175,40.5098,0.104110610272082,0.000193913867036255
YBR164C,183,146.2662,387.5319,0.377430090271278,0.000765056296744704
YBR165W,277,24.9102,129.1234,0.192917782524314,0.000316884701496463
YBR166C,452,37.1167,142.7368,0.260035954287892,0.000487783381612444
YBR167C,140,27.1682,70.2134,0.386937536139825,0.000794431649709287
YBR168W,413,5.8011,61.3376,0.0945765729340568,0.000165963632882598
YBR169C,693,17.7099,13.5501,1.3069940443244,0.00292661160600458
YBR170C,580,36.7474,46.3669,0.792535192130593,0.00137247917961727
YBR171W,206,139.6644,224.3829,0.622437806089501,0.00126377243428078
YBR172C,740,28.9125,61.3871,0.470986575355409,0.000913638530367127
YBR173C,148,223.1779,105.266,2.12013280641423,0.00406699717958215
YBR175W,315,16.929,204.2785,0.0828721573733898,0.00013343425030314
YBR176W,312,21.6924,84.9192,0.255447531300342,0.000491694008830113
YBR177C,451,56.3294,51.1743,1.10073611168106,0.00218187822382445
YBR179C,855,12.6761,29.7682,0.425826889096418,0.000824142925403083
YBR180W,572,0.3594,1.8619,0.193028626671679,0.000357140203908744
YBR182C,452,2.7269,30.6075,0.0890925426774483,0.000161855664152479
YBR182CA,64,2.0933,7.1163,0.294155670783975,0.000419180494475133
YBR183W,316,6.4907,50.0157,0.129773251199123,0.000223639616224407
YBR184W,523,4.0609,21.7577,0.18664197042886,0.000329297640133803
YBR185C,278,25.5583,54.4246,0.469609331074551,0.00082517654334822
YBR186W,564,0.2458,3.5806,0.0686477126738535,0.000118052927153031
YBR187W,280,144.9409,419.9808,0.345113157553869,0.000734465577579278
YBR188C,140,37.3562,61.7312,0.605142942304702,0.000951920626956903
YBR189W,195,5513.2457,7796.6178,0.707132995540707,0.00331149461343518
YBR192W,377,28.4959,136.2773,0.209102322984092,0.000404252925383475
YBR193C,223,22.0259,41.8969,0.525716699803565,0.000961981690074407
YBR194W,123,32.5268,94.7816,0.343176312702043,0.000621857208659243
YBR195C,422,11.8424,65.2345,0.181535843763653,0.000328412458224361
YBR196C,554,1948.4487,905.7338,2.15123770361667,0.00855658503997195
YBR196CA,49,0,14.4934,0,0
YBR196CB,34,0,9.3586,0,0
YBR197C,217,20.1158,22.2865,0.902600228838086,0.00145640650481302
YBR198C,798,34.3788,29.97,1.14710710710711,0.00213501297997803
YBR199W,464,65.9739,275.1066,0.239812131006672,0.00041374610633313
YBR200W,551,24.3743,47.3504,0.514764394809759,0.00100338194949629
YBR200WA,54,0,1.1992,0,0
YBR201CA,67,12.0109,33.0548,0.363363263429214,0.00063194832451078
YBR201W,211,20.037,134.9802,0.14844399400801,0.000271706789884813
YBR202W,845,22.4046,52.1971,0.429230742704097,0.000851579473282662
YBR203W,924,0.7425,4.4713,0.166059087960996,0.000324279988827286
YBR204C,375,12.5902,49.4479,0.254615463952969,0.000423248998105145
YBR205W,404,81.831,220.5142,0.371091748286505,0.000746039322055381
YBR207W,465,21.5024,105.5725,0.20367425229108,0.000358108590379558
YBR208C,1835,6.2492,13.7392,0.454844532432747,0.000984088785085173
YBR210W,142,38.7498,155.2,0.249676546391753,0.000391032934380341
YBR211C,324,20.682,110.8984,0.186495026077924,0.000321372418663237
YBR212W,672,34.8916,13.9725,2.497162283056,0.00437998577273021
YBR213W,274,11.718,7.7494,1.51211706712778,0.00250397466916647
YBR214W,527,12.4804,10.2283,1.22018321715241,0.00217418186952516
YBR215W,625,22.9343,24.7516,0.926578483815188,0.00186128212309719
YBR216C,674,14.1391,52.069,0.271545449307649,0.000466957905456186
YBR217W,186,5.4934,97.1128,0.0565672084421415,8.72183334953961e-05
YBR220C,560,14.1945,105.3068,0.13479186529265,0.000243738632532687
YBR221C,366,332.3667,313.2103,1.06116146244233,0.00287045654345852
YBR221WA,34,0,1.8717,0,0
YBR222C,543,64.3546,42.0402,1.53078719891913,0.00308623701386898
YBR223C,544,3.7786,8.4416,0.447616565579985,0.000727211180596078
YBR225W,900,5.3357,7.1817,0.742957795508027,0.00143268676797187
YBR227C,520,30.6975,43.2539,0.709704789625907,0.00144869432916209
YBR228W,304,4.497,41.2776,0.108945287516716,0.000185450398439067
YBR229C,954,25.9622,27.6624,0.93853750939904,0.00188537041216306
YBR230C,134,69.6147,44.3904,1.56823772707612,0.00304401275800351
YBR230WA,66,38.5966,58.2074,0.663087511209915,0.00100592154734121
YBR231C,303,23.6867,30.4573,0.777701897410473,0.00119739850951377
YBR233W,413,20.7181,18.031,1.14902667627974,0.00212072119629407
YBR233WA,94,55.3185,138.1674,0.400373025764399,0.000543837365932451
YBR234C,384,110.6674,68.7194,1.61042442163348,0.00353343305728942
YBR235W,1120,5.7598,13.2127,0.435929068244946,0.000751887057841001
YBR236C,436,29.8367,82.5192,0.361572821840251,0.000740035900730412
YBR237W,849,7.3523,29.5858,0.248507730059691,0.000438822025168181
YBR238C,731,13.0391,10.3872,1.25530460566852,0.00296797845357354
YBR239C,529,4.1445,8.0512,0.514767984896661,0.000923193991323389
YBR240C,450,0.6087,12.4154,0.0490278202877072,7.51120266667036e-05
YBR241C,488,5.474,7.9073,0.692271698304099,0.00120447938163025
YBR242W,238,50.4714,93.0336,0.54250722319678,0.000994705394419578
YBR243C,448,20.1755,40.5297,0.497795443835015,0.000976724480186945
YBR244W,162,171.7525,405.8486,0.423193525861614,0.00100699025781884
YBR245C,1129,50.2095,21.7868,2.30458350928085,0.00490871198061272
YBR246W,387,21.2199,77.4641,0.273932053686805,0.000480447260037444
YBR247C,483,69.9107,75.2057,0.929593102650464,0.00188758270763966
YBR248C,552,64.0533,137.8158,0.464774721040693,0.000963601195355416
YBR249C,370,519.8132,488.3788,1.06436479224733,0.0034500891676692
YBR250W,523,0.655,4.9623,0.131995244140822,0.000244143933877786
YBR251W,307,36.7396,126.3061,0.290877479393315,0.000535337439953547
YBR252W,147,173.8258,282.8969,0.614449292304016,0.00136847896394594
YBR253W,121,47.0644,152.3816,0.308858812350048,0.000468815283331376
YBR254C,175,51.3522,153.0388,0.335550200341351,0.000607239465279645
YBR255CA,120,24.4326,27.2047,0.898102166169816,0.00171060533428116
YBR255W,694,6.7181,29.3644,0.228783833485445,0.000382572142745328
YBR256C,238,58.2141,270.1875,0.215458154059681,0.000430071795420833
