ORF	Length	RPF	mRNA	TE	IP	FEcap	uATG	utr
YBL013W	401	7.92	11.78	0.6723259762309	0.000718970874408651	-3.5	0	67
YBL014C	894	5.62	38.54	0.145822522055008	0.000173907551640695	NA	NA	NA
YBL015W	526	36.1	32.09	1.12496104705516	0.00156149139012037	-4.3	0	93
YBL016W	353	48.73	49.77	0.979103877838055	0.001059279543249	NA	NA	NA
YBL017C	1579	70.79	121.31	0.583546286373753	0.000801627305124299	NA	NA	NA
YBL018C	133	89.59	95.47	0.938409971718865	0.00135787829080271	-9.6	1	34
YBL019W	520	6.32	11.83	0.534234995773457	0.000661492658252041	-13.3	0	33
YBL020W	574	21.07	53.16	0.396350639578631	0.000489374629709718	-9.5	0	56
YBL021C	144	59.03	41.35	1.42756952841596	0.00145631453831535	-7.1	0	48
YBL022C	1133	86.38	157.64	0.547957371225577	0.000774844858540472	-11.9	0	120
YBL023C	868	38.37	45.47	0.843853089949417	0.00122593718947744	NA	NA	NA
YBL024W	684	175.54	171.82	1.02165056454429	0.00170596767853486	NA	NA	NA
YBL025W	145	37.53	28.85	1.30086655112652	0.00148903615218587	-5.1	0	49
YBL026W	95	282.35	210.33	1.342414301336	0.00188474182452576	NA	NA	NA
YBL028C	106	341.25	190.36	1.7926560201723	0.00345167170061687	-6.9	0	28
YBL029CA	94	34.95	31.41	1.1127029608405	0.00139538861376009	-7.6	1	118
YBL029W	376	3.31	3.01	1.09966777408638	0.0012224815001223	NA	NA	NA
YBL030C	318	769.85	462.75	1.66364127498649	0.00371775853567195	-3.9	0	141
YBL031W	338	11.16	23.59	0.473081814328105	0.000580294982343666	-9.8	0	31
YBL032W	381	193.91	185.75	1.04393001345895	0.00142674138440215	NA	NA	NA
YBL033C	345	60.3	46.79	1.28873690959607	0.00139353304257377	-1.5	0	29
YBL034C	1513	12.35	29.11	0.424252834077637	0.000545434335661062	NA	NA	NA
YBL035C	705	26.96	37	0.728648648648649	0.000919306945416633	NA	NA	NA
YBL036C	257	177.86	119.5	1.48836820083682	0.00242036546368396	-6.2	0	17
YBL037W	1025	20.02	36.83	0.543578604398588	0.000671115081487989	NA	NA	NA
YBL038W	232	73.08	61.09	1.19626780160419	0.00167322040999217	-10.2	0	75
YBL039C	579	317	307.45	1.03106196129452	0.00177466075228257	NA	NA	NA
YBL040C	219	150.38	125.4	1.19920255183413	0.00165035913744763	-7.4	0	29
YBL041W	241	394.77	287.94	1.37101479474891	0.00191150747131409	-8	0	32
YBL042C	639	52.38	79.95	0.65515947467167	0.000913240758986099	-6.4	0	57
YBL045C	457	128.56	121.69	1.05645492645246	0.00183394030977513	-8	0	98
YBL046W	441	28.08	24.89	1.12816392125352	0.00135732638514195	-8.5	0	9
YBL047C	1381	135.15	170.63	0.792064701400692	0.00114591928561094	NA	NA	NA
YBL050W	292	202.71	137.87	1.47029810691231	0.00186492347749462	-7.2	0	68
YBL051C	668	77.82	97.1	0.801441812564367	0.00111169055241139	-8.6	0	64
YBL052C	831	5.66	38.97	0.145239928149859	0.000189036581372178	NA	NA	NA
YBL054W	525	29.45	32.53	0.905318167845066	0.00107713551339044	NA	NA	NA
YBL055C	418	25.58	43.92	0.582422586520947	0.0006849504032425	NA	NA	NA
YBL056W	468	125.77	217.37	0.578598702672862	0.000837227637196558	NA	NA	NA
YBL057C	208	85.41	103.87	0.822277847309136	0.00108004718368422	NA	NA	NA
YBL058W	423	200.82	173.47	1.15766414942065	0.0015844178502149	-9.3	0	42
YBL059CA	109	103.72	85.79	1.20899871779928	0.00170235960286386	NA	NA	NA
YBL059W	193	17.46	22.95	0.76078431372549	0.000832738078426449	NA	NA	NA
YBL060W	687	10.17	17.26	0.589223638470452	0.00073135991971655	NA	NA	NA
YBL061C	696	40.11	69.23	0.579373104145602	0.000705573800300925	-8.6	0	101
YBL063W	1111	8.86	24.72	0.358414239482201	0.000450119426737857	-10.5	0	18
YBL064C	261	132.34	116.34	1.13752793536187	0.00163759482867193	-8.8	0	13
YBL066C	1148	5.1	17.83	0.286034772854739	0.000361088891348197	-11.6	1	68
YBL067C	747	21.72	71.68	0.303013392857143	0.000403638034171318	-8.9	0	268
YBL068W	326	91.66	101.9	0.899509322865554	0.00131315556908325	NA	NA	NA
YBL069W	429	50.64	44.74	1.1318730442557	0.00154886271775532	NA	NA	NA
YBL071WA	82	166.8	112.23	1.48623362737236	0.00193718603024202	-4.6	0	44
YBL074C	355	18.18	28.42	0.639690358902182	0.000815271729585579	-9.2	0	15
YBL076C	1072	484.32	786.07	0.616128334626687	0.00116813118838331	-9.3	0	18
YBL078C	117	54.38	29.02	1.87388008270159	0.0024936405557802	NA	NA	NA
YBL079W	1502	34.2	102.76	0.332814324639938	0.000444098758642646	-9.7	0	95
YBL080C	541	8.61	16.56	0.519927536231884	0.00062888060726243	-12	0	17
YBL082C	458	30.63	55.02	0.556706652126499	0.000606822044603928	NA	NA	NA
YBL085W	980	27.58	52.08	0.529569892473118	0.000649955114290545	-4.3	0	209
YBL086C	466	19.65	21.23	0.925577013659915	0.00115360307568074	NA	NA	NA
YBL088C	2787	1.59	20.5	0.0775609756097561	9.19283749537625e-05	NA	NA	NA
YBL089W	459	18.07	25.63	0.705033164260632	0.000832117409854262	NA	NA	NA
YBL090W	177	84.23	66.73	1.2622508616814	0.0015314008837187	-6.3	0	32
YBL091C	421	181.94	172.9	1.05228455754772	0.0016127581838295	-8.6	0	32
YBL091CA	175	36.32	29.53	1.22993565865222	0.00141397872393779	-10.9	0	14
YBL092W	130	9582.88	6165.91	1.55417124155234	0.0046292952586942	-5.6	10	366
YBL093C	220	85.08	76.73	1.1088231460967	0.001218844883961	-5.7	0	81
YBL095W	270	8.64	42.65	0.202579132473623	0.000246814436322467	-7.4	2	45
YBL097W	754	18.34	27.15	0.675506445672192	0.0009086315386601	NA	NA	NA
YBL098W	460	31.23	38.3	0.815404699738904	0.0011838921929782	-11.8	0	31
YBL099W	545	560.29	480.23	1.16671178393686	0.00240718783191821	NA	NA	NA
YBL101C	1117	15.97	39.7	0.402267002518892	0.000495701052712006	NA	NA	NA
YBL102W	215	95.5	115.37	0.827771517725579	0.000799419841629723	-13	0	107
YBL103C	486	21.92	25.01	0.876449420231907	0.00117015324012979	NA	NA	NA
YBL104C	1038	11.63	33.33	0.348934893489349	0.000455628475113216	-10.8	0	26
YBL105C	1151	25.76	57.94	0.444597859855022	0.000602232026512254	NA	NA	NA
YBL106C	1010	7.83	23.19	0.33764553686934	0.000420703588904452	NA	NA	NA
YBL107C	196	42.15	49.72	0.847747385358005	0.000969539011696196	-7.9	0	1
YBR001C	780	26.04	50.73	0.513305736250739	0.000641188103293714	NA	NA	NA
YBR002C	286	40.3	53.17	0.757946210268949	0.000909862954027882	-10.3	0	1
YBR003W	473	28.52	54.21	0.526102195166943	0.000669929918861871	-14.7	0	30
YBR004C	433	20.23	31.37	0.644883646796302	0.000867301417829249	-6.6	0	17
YBR005W	213	16.09	23.8	0.676050420168067	0.000657645668655359	-5.8	0	36
YBR006W	497	18.97	19.41	0.977331272539928	0.00146283169668472	NA	NA	NA
YBR007C	736	11.01	19.79	0.556341586659929	0.000659858449171798	NA	NA	NA
YBR011C	287	2665.54	1719.62	1.55007501657343	0.00397098570017572	-4.2	0	32
YBR013C	129	26.32	42.35	0.621487603305785	0.000630569394608189	NA	NA	NA
YBR014C	203	124.38	86.55	1.4370883882149	0.00188955597519787	NA	NA	NA
YBR015C	597	117.01	165.86	0.705474496563367	0.000936045284899774	-9.4	0	94
YBR016W	128	359.39	129.96	2.76538935056941	0.0026776768480438	NA	NA	NA
YBR017C	918	81.31	135.64	0.599454438218815	0.000765169187919545	NA	NA	NA
YBR021W	633	10.96	17.65	0.620963172804533	0.000928697906933609	NA	NA	NA
YBR022W	177	58.42	45.04	1.29706927175844	0.00159953939319453	-4.3	0	15
YBR023C	1165	35.34	79.04	0.447115384615385	0.000589687080099319	NA	NA	NA
YBR024W	301	25.55	23.05	1.10845986984816	0.00142601717064972	NA	NA	NA
YBR025C	394	1057.4	904.49	1.16905659542947	0.0028682478783872	-4.8	0	22
YBR026C	380	99.9	78.23	1.27700370701777	0.00173324670952264	-3.2	0	4
YBR028C	525	27.36	50.9	0.537524557956778	0.000714887266248481	-8.6	1	101
YBR029C	457	74.22	98.22	0.755650580329872	0.00100001294634514	-8.8	0	81
YBR030W	552	13.8	35.13	0.392826643894108	0.000517020217799973	-12.7	2	90
YBR034C	348	161.98	172.39	0.939613666686003	0.00155014010426018	-4.7	0	30
YBR035C	228	306.82	207.44	1.47907828769765	0.00205892613892422	-8	0	28
YBR036C	410	118.82	132.28	0.898246144541881	0.00107358227301523	NA	NA	NA
YBR037C	295	42.17	40.71	1.03586342422009	0.0011638329251057	NA	NA	NA
YBR038W	963	53.09	71.24	0.74522740033689	0.00101758203060117	-7.2	0	38
YBR039W	311	259.08	203.82	1.27112157786282	0.00256836571296615	-9	0	88
YBR041W	669	42.4	72.17	0.587501732021616	0.000845945227615134	-3.6	0	54
YBR042C	397	33.29	60.37	0.551432830876263	0.000641825887486714	NA	NA	NA
YBR043C	689	5.67	26.79	0.211646136618141	0.000270634225464923	-8.3	2	150
YBR044C	572	8.89	27.88	0.318866571018651	0.00040151995247353	NA	NA	NA
YBR046C	334	81.86	52.01	1.57392809075178	0.00203277069173879	-1.6	0	32
YBR047W	175	17.85	18.56	0.961745689655173	0.00138812666614247	-7.4	1	54
YBR049C	810	87.3	95.57	0.913466569007011	0.00135910715984216	-4.8	0	150
YBR052C	210	230.72	187.96	1.22749521174718	0.00177342374497294	-0.3	0	65
YBR053C	358	85.15	58.98	1.44370973211258	0.00198943967765957	-10.4	0	13
YBR054W	344	51.08	46.93	1.0884295759642	0.00222307455822711	-1.5	0	315
YBR055C	899	14.93	39.91	0.374091706339263	0.000480896780382218	NA	NA	NA
YBR056W	501	56.91	72.59	0.783992285438766	0.00124598521359616	-2.2	0	38
YBR057C	366	28.02	30.66	0.913894324853229	0.00115560801154677	NA	NA	NA
YBR058C	781	44.08	61.57	0.715933084294299	0.000948083475756847	-7.4	0	23
YBR058CA	80	343.31	185.17	1.85402603013447	0.00209941490886364	-3.5	0	45
YBR059C	1108	43.8	76	0.576315789473684	0.000713270616100646	-9.1	0	151
YBR060C	620	20.89	41.52	0.503131021194605	0.000613704202467698	NA	NA	NA
YBR061C	310	74.43	58.74	1.26710929519918	0.0015829759114544	-2.9	0	8
YBR062C	180	72.93	51.4	1.41887159533074	0.00187522251024312	NA	NA	NA
YBR065C	364	19.58	36.64	0.53438864628821	0.000626306317161724	-3.6	0	32
YBR066C	220	58.19	48.1	1.20977130977131	0.00142241538364102	NA	NA	NA
YBR067C	210	485.68	225.69	2.15197837742036	0.00443810083809934	NA	NA	NA
YBR068C	609	189.05	277.84	0.680427584221135	0.000953044886536529	-14.4	0	15
YBR069C	619	160.06	270.96	0.590714496604665	0.000735854822269382	-11	0	106
YBR070C	237	33.32	48.59	0.685737806132949	0.000740095705395318	-13.9	0	22
YBR071W	211	81.16	48.98	1.65700285830951	0.00191072659304606	-3.5	0	73
YBR072W	214	101.12	58.64	1.72442019099591	0.00321198551158608	-2.8	0	75
YBR073W	958	32.54	79.83	0.407616184391833	0.000512730698537891	NA	NA	NA
YBR074W	976	46	84.92	0.54168629298163	0.000619972697816607	-8.2	0	6
YBR077C	162	80.51	70.18	1.14719293245939	0.00148840141857344	NA	NA	NA
YBR078W	429	1864.88	1212.94	1.5374874272429	0.00344893437180744	-3.5	0	177
YBR079C	964	260.78	326.79	0.798004834909269	0.00152669229844646	-8.1	0	26
YBR080C	758	109.25	111.22	0.982287358388779	0.00146732232311073	-11.3	0	1
YBR081C	1332	18.21	43.38	0.419778699861687	0.000573400190283379	NA	NA	NA
YBR082C	148	1234	511.11	2.4143530746806	0.00445255164703746	-1.8	0	50
YBR083W	486	49.9	53.37	0.93498219973768	0.00103186802113522	-7.8	0	34
YBR084W	975	153.68	266.87	0.57586090605913	0.000835609588892401	-22.6	0	15
YBR085CA	85	335.23	203.23	1.64951040692811	0.00223103543084121	NA	NA	NA
YBR085W	307	23.95	23.57	1.01612218922359	0.00162023674220375	NA	NA	NA
YBR086C	946	83.76	173.5	0.482766570605187	0.000655377122529799	-12.3	1	304
YBR087W	354	51.3	59.92	0.856141522029372	0.00107123858028111	-8	0	12
YBR088C	258	279.53	176.64	1.58248414855072	0.0024517296561388	-1.8	0	41
YBR091C	109	77.21	62.31	1.23912694591558	0.00122040123244505	-7.2	0	42
YBR094W	753	32.28	44.71	0.721986132856184	0.00105469690809361	NA	NA	NA
YBR095C	430	24.56	33.99	0.722565460429538	0.000923679634031492	-15.8	0	41
YBR096W	230	139.64	153.21	0.911428757913974	0.00122306286340473	-4.3	0	63
YBR097W	1454	8.27	26.88	0.30766369047619	0.000380854325785517	NA	NA	NA
YBR098W	691	6.34	13.46	0.471025260029718	0.000558996141746932	-8.7	0	13
YBR101C	290	117.92	105.05	1.12251308900524	0.00149854295924108	-6	0	73
YBR102C	753	29.11	39.35	0.739771283354511	0.000857463123521071	-3.9	1	79
YBR103W	535	22.51	34.59	0.650766117374964	0.000739208636464279	NA	NA	NA
YBR104W	329	43.94	45.03	0.975793915167666	0.0012060632191833	-6.6	1	89
YBR105C	362	21.48	31	0.692903225806452	0.000800592492271077	-5.9	0	24
YBR106W	188	1217.17	1163.63	1.04601118912369	0.00231849566561291	-0.8	0	40
YBR107C	245	6.69	20.89	0.320248922929631	0.000398742980341117	NA	NA	NA
YBR108W	947	17.81	21.52	0.827602230483271	0.000907128833647269	NA	NA	NA
YBR109C	147	739.41	403.77	1.8312653243183	0.00267220173208315	NA	NA	NA
YBR110W	449	38.99	66.1	0.589863842662632	0.000771302753955499	NA	NA	NA
YBR111C	231	208.09	187.49	1.10987252653475	0.00182426111639409	NA	NA	NA
YBR111WA	96	101.03	86.64	1.16608956602031	0.00136553969306281	NA	NA	NA
YBR114W	790	7.35	17.63	0.416903006239365	0.000532844151812683	-9.8	0	79
YBR115C	1392	90.97	118.8	0.765740740740741	0.00120461787103917	NA	NA	NA
YBR119W	298	28.03	31.05	0.902737520128824	0.000968171108085291	-3.9	0	38
YBR120C	162	50.43	38.28	1.31739811912226	0.00185217743888698	NA	NA	NA
YBR121C	667	631.15	714.69	0.883110159649638	0.00190727934631587	-9.8	0	165
YBR122C	177	98.98	94.54	1.04696424793738	0.00150605613609698	NA	NA	NA
YBR123C	649	23.67	31.17	0.759384023099134	0.00101217987458148	NA	NA	NA
YBR125C	393	29.79	47.96	0.621142618849041	0.000805835195831239	-8.9	0	189
YBR126C	495	312.37	206.8	1.51049323017408	0.00196596410445898	-8.1	0	108
YBR127C	517	1125.03	1018.95	1.10410716914471	0.00206592112901747	-10	0	65
YBR128C	344	2.83	5.72	0.494755244755245	0.000532296201006499	NA	NA	NA
YBR129C	328	24.49	46.81	0.52317880794702	0.000657480871775557	NA	NA	NA
YBR130C	425	48.37	78.98	0.61243352747531	0.00079978638313334	-12	0	61
YBR131W	704	8.77	16.99	0.516185991759859	0.00064161888616683	-8.6	1	31
YBR132C	596	18.99	33.86	0.560838747784997	0.000724446003927375	NA	NA	NA
YBR133C	827	19.4	67.84	0.285966981132075	0.000345762454580739	NA	NA	NA
YBR135W	150	119.6	83.34	1.43508519318455	0.0016715123098387	-11.8	0	105
YBR136W	2368	4.14	25.81	0.160402944595118	0.0002009931450318	NA	NA	NA
YBR137W	179	131.43	83.03	1.58292183548115	0.00234255272401989	NA	NA	NA
YBR138C	524	13.69	17.09	0.801053247513166	0.000992537231997047	NA	NA	NA
YBR139W	508	87.15	89.52	0.973525469168901	0.00124954905198917	NA	NA	NA
YBR140C	3092	12.57	63.73	0.197238349286051	0.000245172545307505	NA	NA	NA
YBR141C	337	21.05	21.47	0.980437820214253	0.00114651737123397	-7.5	0	15
YBR142W	773	47.94	71.18	0.673503793200337	0.000967259914414878	-9.4	0	48
YBR143C	437	517.55	490.01	1.05620293463399	0.00198988294613991	-2.8	0	37
YBR145W	351	19.68	23.98	0.820683903252711	0.00141133275403983	-1.5	0	42
YBR146W	278	77.17	92.23	0.836712566410062	0.00102197167162825	-13	0	44
YBR148W	609	2.51	4.69	0.535181236673774	0.000755761614646648	NA	NA	NA
YBR149W	344	249.29	208.59	1.19511961263723	0.00185492172518341	-6	0	70
YBR151W	316	83.14	116.03	0.716538826165647	0.000942171899351504	-9.3	0	147
YBR152W	291	19.06	22.66	0.841129744042365	0.00107136235723184	NA	NA	NA
YBR153W	244	13.94	28.04	0.497146932952924	0.000556001003614945	NA	NA	NA
YBR154C	215	370.63	233.49	1.58734849458221	0.00268547606723122	-6.8	0	92
YBR155W	385	76.05	62.64	1.21408045977011	0.00175524090371721	NA	NA	NA
YBR156C	698	8.46	18.33	0.461538461538462	0.000599353118082428	-11.7	0	38
YBR157C	255	25.74	38.02	0.677012098895318	0.000831115386518938	-9.6	14	830
YBR158W	549	75.87	240.97	0.314852471261983	0.000370037771874685	-5.4	1	264
YBR159W	347	215.62	218.84	0.985286053737891	0.00144336030733056	-10.7	0	21
YBR160W	298	90.66	67.55	1.34211695040711	0.00191553964203317	-5.9	0	79
YBR161W	376	22.75	31.28	0.72730179028133	0.00088699171861501	-13.7	0	110
YBR162C	455	656.55	590.04	1.112721171446	0.00200725105561771	-2.1	0	137
YBR162WA	65	628.57	383.12	1.64066088953853	0.00205328495219584	-10.7	0	18
YBR163W	585	5.09	31.97	0.159211761025962	0.000202496534913289	NA	NA	NA
YBR164C	183	238.1	156.79	1.51859174692264	0.00210196985465707	-8.7	0	120
YBR165W	277	32.3	28.96	1.11533149171271	0.00125101221850292	-16.3	0	102
YBR166C	452	64.6	55.64	1.16103522645579	0.00148719381747169	-6.4	0	53
YBR167C	140	39.24	32.69	1.20036708473539	0.00168290007243306	-5.8	0	37
YBR168W	413	7.7	24.55	0.313645621181263	0.000375834949711703	NA	NA	NA
YBR169C	693	41.36	53.33	0.775548471779486	0.00118584793968001	NA	NA	NA
YBR170C	580	65.89	70.94	0.928813081477305	0.00109835848016033	-5.5	0	74
YBR171W	206	160.12	144.06	1.11148132722477	0.0015410036271123	-9.2	0	27
YBR172C	740	47.99	60.32	0.795590185676393	0.00105386230351348	-9.9	0	112
YBR173C	148	280.74	124.7	2.25132317562149	0.00294901663329448	-3.2	0	29
YBR175W	315	22.38	35	0.639428571428571	0.000703038790345829	NA	NA	NA
YBR176W	312	35.88	33.13	1.08300633866586	0.00142348462316194	NA	NA	NA
YBR177C	451	85.06	90.03	0.944796179051427	0.00127883347689984	NA	NA	NA
YBR179C	855	21.98	37.88	0.58025343189018	0.00076685940090768	-9.5	0	66
YBR182C	452	2.15	3.81	0.564304461942257	0.000700049271001992	NA	NA	NA
YBR183W	316	14.78	30.84	0.479247730220493	0.000563965052807967	NA	NA	NA
YBR184W	523	4.57	6.96	0.656609195402299	0.00079106986920462	NA	NA	NA
YBR185C	278	44.56	39.48	1.12867274569402	0.00135427471370866	-8.1	1	30
YBR187W	280	158.02	191.24	0.826291570801088	0.00120080317249383	-12.7	1	130
YBR188C	140	47.11	31.29	1.50559284116331	0.00161725640997941	NA	NA	NA
YBR189W	195	6351.14	4449.31	1.4274438058935	0.00456468219326062	-3.3	0	27
YBR192W	377	31.36	39.29	0.798167472639348	0.0010536998398485	-10.8	0	201
YBR193C	223	31.58	36.41	0.867344136226311	0.0010837648336534	-8.8	0	8
YBR194W	123	28.6	38.01	0.752433570113128	0.000931043790687608	NA	NA	NA
YBR195C	422	21.22	26.94	0.787676317743133	0.000973046508577686	NA	NA	NA
YBR196C	554	2748.26	2342.96	1.17298630791819	0.00318591062111161	NA	NA	NA
YBR197C	217	26.42	37.65	0.701726427622842	0.000773185282093555	-10.1	3	36
YBR198C	798	53.73	69.01	0.778582814084915	0.000989532214544181	-4.7	0	79
YBR199W	464	94.64	130.67	0.724267238080661	0.000853277289964373	NA	NA	NA
YBR200W	551	32.83	48.59	0.675653426630994	0.000899311905067335	-8.6	2	56
YBR201W	211	22.02	28.92	0.761410788381743	0.000951667989688617	NA	NA	NA
YBR202W	845	45.79	66.4	0.68960843373494	0.000934255157303663	-11.9	0	31
YBR203W	924	1.11	5.38	0.206319702602231	0.000275122924435401	NA	NA	NA
YBR204C	375	23.7	33.6	0.705357142857143	0.000800661241426259	-10.2	0	63
YBR205W	404	136.16	177.37	0.767660822010486	0.0010538489645805	-10.3	0	48
YBR207W	465	54.24	67.31	0.805823800326846	0.000967491757525352	-6.9	0	90
YBR208C	1835	17.88	47.39	0.377294787929943	0.00055741760985959	NA	NA	NA
YBR210W	142	63.51	66.54	0.954463480613165	0.00102075961592126	-12.3	0	35
YBR211C	324	22.3	26.43	0.843738176314794	0.00099283624377956	-13	0	98
YBR212W	672	44.77	48.34	0.926148117501034	0.0011092640964224	NA	NA	NA
YBR213W	274	18.7	16.7	1.11976047904192	0.00126618809622396	NA	NA	NA
YBR214W	527	34.01	28.58	1.18999300209937	0.00144791745977906	NA	NA	NA
YBR215W	625	21.73	24.1	0.901659751037344	0.001236805061058	NA	NA	NA
YBR216C	674	24.99	37.09	0.673766513885144	0.000791176175602943	-4.3	0	34
YBR217W	186	11.46	24.08	0.475913621262459	0.000501071552633084	NA	NA	NA
YBR220C	560	28.07	58.27	0.481723013557577	0.000594821498252607	NA	NA	NA
