ORF	Length	RPF	mRNA	TE	IP	FEatg	FEcap
YBL038W	232	0.360515021459227	0.545454545454545	0.660944206008584	0.000985034616955198	-1.6	-13.5
YBL039C	579	1.46206896551724	1.39393939393939	1.04887556221889	0.0019236076703996	0	NA
YBL040C	219	0.486363636363636	1.93939393939394	0.25078125	0.00036774174640461	-2.1	-10.7
YBL041W	241	1.15702479338843	0.636363636363636	1.81818181818182	0.00270105310210819	-0.4	-5.2
YBL045C	457	0.606986899563319	0.424242424242424	1.43075483468497	0.00264643602128139	0	-8
YBL046W	441	0.0882352941176471	0.363636363636364	0.242647058823529	0.000311063510917688	-1.3	-8.7
YBL047C	1381	0.495658465991317	0.272727272727273	1.8174143753015	0.00280162033896092	0	NA
YBL050W	292	0.658703071672355	1.15151515151515	0.572031614873361	0.000773103436170097	-1.4	-9.6
YBL054W	525	0.106463878326996	0.212121212121212	0.501901140684411	0.000636281425193641	-0.4	NA
YBL055C	418	0.081145584725537	0.424242424242424	0.19127173542448	0.000239681033474097	0	NA
YBL056W	468	0.394456289978678	1.06060606060606	0.371915930551325	0.000573419998404719	0	NA
YBL057C	208	0.315789473684211	0.818181818181818	0.385964912280702	0.000540174299087607	-2.1	NA
YBL058W	423	1.08018867924528	1.51515151515152	0.712924528301887	0.0010396631538644	0	-10.4
YBL059CA	109	0.5	0.363636363636364	1.375	0.002062956717283	0	NA
YBL061C	696	0.113342898134864	0.424242424242424	0.267165402746464	0.000346678003166938	0	-10.1
YBL064C	261	0.286259541984733	0.181818181818182	1.57442748091603	0.00241506599149454	-0.3	-12.1
YBL067C	747	0.0855614973262032	0.363636363636364	0.235294117647059	0.000333966789365769	-3.2	-14.1
YBL068W	326	0.477064220183486	0.909090909090909	0.524770642201835	0.000816285336787424	-1.5	NA
YBL069W	429	0.17906976744186	0.333333333333333	0.537209302325581	0.000783286581251911	-1.8	NA
YBL071WA	82	1.07228915662651	0.575757575757576	1.86239695624604	0.00258653554931745	-0.2	NA
YBL076C	1072	2.13886300093197	1.15151515151515	1.85743365870408	0.00375228400748603	-1.1	-15.6
YBL082C	458	0.10239651416122	0.333333333333333	0.30718954248366	0.000356782315058424	0	NA
YBL085W	980	0.108053007135576	0.242424242424242	0.445718654434251	0.000582884951688942	0	-11.3
YBL089W	459	0.0739130434782609	0.303030303030303	0.243913043478261	0.000306741149550986	-1.7	NA
YBL090W	177	0.331460674157303	0.757575757575758	0.43752808988764	0.000565602227881382	0	-12.1
YBL091C	421	0.748815165876777	0.484848484848485	1.54443127962085	0.00252212495660316	-7.4	-12.6
YBL092W	130	45.1297709923664	14.2727272727273	3.16195847717217	0.010035387080217	0	-6.5
YBL093C	220	0.307692307692308	0.909090909090909	0.338461538461538	0.000396421712473907	0	-4.7
YBL097W	754	0.0503311258278146	0.242424242424242	0.207615894039735	0.000297564324020147	-1.7	NA
YBL098W	460	0.136659436008677	0.333333333333333	0.40997830802603	0.000634251902464466	-4.2	-15
YBL099W	545	1.68498168498168	0.484848484848485	3.47527472527473	0.0076400726855647	0	NA
YBL102W	215	0.273148148148148	0.96969696969697	0.281684027777778	0.000289860221501793	0	-12.7
YBL103C	486	0.082135523613963	0.181818181818182	0.451745379876797	0.000642645623702237	-3.7	NA
YBL105C	1151	0.0928819444444444	0.181818181818182	0.510850694444444	0.000737313899493041	0	NA
YBL107C	196	0.243654822335025	0.939393939393939	0.259374488292124	0.000316073467041839	0	NA
YBR002C	286	0.153310104529617	0.454545454545455	0.337282229965157	0.00043141278443995	0	NA
YBR003W	473	0.0991561181434599	0.242424242424242	0.409018987341772	0.000554963834593114	-6.9	-16.6
YBR004C	433	0.105990783410138	0.212121212121212	0.499670836076366	0.00071603565361579	0	-11.4
YBR011C	287	11.2743055555556	1.60606060606061	7.01985062893082	0.0191617615338757	-0.7	-9.8
YBR014C	203	0.352941176470588	0.818181818181818	0.431372549019608	0.000604353079756895	-0.8	NA
YBR015C	597	0.337792642140468	0.181818181818182	1.85785953177258	0.0026265784092796	0	-13.4
YBR016W	128	0.62015503875969	0.272727272727273	2.27390180878553	0.00234604067776125	-0.6	NA
YBR017C	918	0.245919477693145	0.515151515151515	0.477373103757281	0.000649263805717346	-1.9	NA
YBR022W	177	0.191011235955056	0.303030303030303	0.630337078651685	0.000828259789158867	-0.5	-7.4
YBR023C	1165	0.147512864493997	0.333333333333333	0.44253859348199	0.000621892191160647	-2	NA
YBR025C	394	5.03037974683544	1.42424242424242	3.53196875841638	0.00923336388676439	0	-6.5
YBR026C	380	0.31496062992126	0.333333333333333	0.94488188976378	0.00136649392369994	0	-5
YBR034C	348	0.656160458452722	0.96969696969697	0.67666547277937	0.00118948124177438	0	-4.7
YBR035C	228	0.91703056768559	0.454545454545455	2.0174672489083	0.00299238901618288	-1.7	-12.1
YBR036C	410	0.403892944038929	0.454545454545455	0.888564476885645	0.00113159461058886	0	NA
YBR039W	311	1.16987179487179	0.636363636363636	1.83836996336996	0.0039578983982585	-1	-9
YBR041W	669	0.158208955223881	0.303030303030303	0.522089552238806	0.000801013894038715	0	-8.4
YBR042C	397	0.148241206030151	0.909090909090909	0.163065326633166	0.000202231213935557	-3.9	NA
YBR046C	334	0.292537313432836	0.181818181818182	1.6089552238806	0.00221416211447705	-0.3	-6.1
YBR052C	210	0.492890995260663	0.636363636363636	0.774542992552471	0.00119234022304911	0	-2.8
YBR053C	358	0.194986072423398	0.333333333333333	0.584958217270195	0.000858890285715829	-1.5	-9.2
YBR055C	899	0.0611111111111111	0.333333333333333	0.183333333333333	0.000251117614830622	0	NA
YBR056W	501	0.147410358565737	0.181818181818182	0.810756972111554	0.00137294691239337	0	-12.7
YBR058C	781	0.163682864450128	0.242424242424242	0.675191815856778	0.000952715581060096	-2.3	-15.6
YBR058CA	80	1.45679012345679	3.54545454545455	0.410889522000633	0.000495757701583009	-0.3	NA
YBR061C	310	0.286173633440514	0.242424242424242	1.18046623794212	0.00157136021538904	0	-12.5
YBR062C	180	0.259668508287293	0.363636363636364	0.714088397790055	0.00100559624590557	0	NA
YBR066C	220	0.32579185520362	0.303030303030303	1.07511312217195	0.00134691216630708	0	NA
YBR067C	210	2.59241706161137	1.63636363636364	1.58425487098473	0.0034813386105786	0	NA
YBR068C	609	0.645901639344262	1.51515151515152	0.426295081967213	0.000636214729947251	-0.2	-16.1
YBR069C	619	0.503225806451613	0.696969696969697	0.722019635343618	0.000958352925925727	0	-12.6
YBR071W	211	0.349056603773585	0.484848484848485	0.719929245283019	0.000884559517914264	-1.1	-3.6
YBR073W	958	0.141814389989572	0.272727272727273	0.519986096628432	0.000696933894292126	-3.2	NA
YBR074W	976	0.114636642784033	0.333333333333333	0.343909928352098	0.000419402857838262	0	-10.3
YBR077C	162	0.54601226993865	0.696969696969697	0.783408909042411	0.00108301400313181	-2.1	NA
YBR078W	429	9.22325581395349	1.84848484848485	4.98963019443385	0.0119262434397608	-0.1	-4.5
YBR079C	964	1.19378238341969	0.515151515151515	2.31734227369704	0.00472387209211515	0	-8.1
YBR080C	758	0.426877470355731	0.212121212121212	2.01242236024845	0.00320308200365656	-0.4	NA
YBR081C	1332	0.0555138784696174	0.181818181818182	0.305326331582896	0.000444389355617583	0	NA
YBR082C	148	3.53020134228188	1.66666666666667	2.11812080536913	0.00416218005404685	0	-4.3
YBR084W	975	0.5625	0.696969696969697	0.807065217391304	0.00124783281634241	0	-22.6
YBR085CA	85	0.63953488372093	1.72727272727273	0.370257037943696	0.000533601059547048	0	NA
YBR086C	946	0.31467793030623	0.212121212121212	1.48348167144366	0.00214584439467697	-2.1	-12.8
YBR087W	354	0.169014084507042	0.96969696969697	0.174295774647887	0.00023237502906497	0	-12.7
YBR088C	258	0.915057915057915	0.575757575757576	1.5893111156269	0.00262363904888086	0	-6.1
YBR091C	109	0.4	0.454545454545455	0.88	0.00092348843674198	-0.1	-11.4
YBR094W	753	0.096816976127321	0.212121212121212	0.45642288745737	0.000710441273623927	-0.2	NA
YBR095C	430	0.102088167053364	0.363636363636364	0.280742459396752	0.000382396777471403	-3.1	-14.5
YBR096W	230	0.458874458874459	1.18181818181818	0.388278388278388	0.000555176690515152	0	-10.6
YBR101C	290	0.776632302405498	1.24242424242424	0.625094292180035	0.00088917096020747	0	-6.7
YBR104W	329	0.172727272727273	0.545454545454545	0.316666666666667	0.000417038616807534	-1.5	-10.3
YBR106W	188	5.08465608465608	5.84848484848485	0.869397154371248	0.00205328921448831	-0.7	-5.4
YBR109C	147	4.05405405405405	1.36363636363636	2.97297297297297	0.00462243575347763	0	NA
YBR110W	449	0.133333333333333	0.424242424242424	0.314285714285714	0.000437884629031871	-2.8	NA
YBR111C	231	0.892241379310345	0.939393939393939	0.949805339265851	0.00166345271511547	0	NA
YBR111WA	96	0.65979381443299	0.575757575757576	1.1459576776994	0.00142989106126632	-3.8	NA
YBR121C	667	1.75299401197605	2.12121212121212	0.826411462788708	0.00190176876696812	-1.6	-14.7
YBR122C	177	0.314606741573034	1.75757575757576	0.179000387446726	0.000274362804029198	-3	NA
YBR125C	393	0.124365482233503	0.303030303030303	0.410406091370558	0.000567323344485218	-3.1	-12.4
YBR126C	495	0.659274193548387	0.333333333333333	1.97782258064516	0.00274287543577444	0	-11.7
YBR127C	517	3.13127413127413	1.12121212121212	2.79275800897423	0.00556798128507454	-2	-12.7
YBR129C	328	0.142857142857143	0.818181818181818	0.174603174603175	0.000233801378486186	-1.1	NA
YBR130C	425	0.321596244131455	0.181818181818182	1.768779342723	0.00246122126456992	-2.9	-14.5
YBR135W	150	0.377483443708609	0.393939393939394	0.958227203260316	0.00118922038515225	0	-14.2
YBR137W	179	0.438888888888889	0.696969696969697	0.629710144927536	0.000992961815210896	-0.3	NA
YBR139W	508	0.174852652259332	0.212121212121212	0.824305360651137	0.00112734299083165	0	NA
YBR142W	773	0.254521963824289	0.333333333333333	0.763565891472868	0.00116845399419414	0	-9.5
YBR143C	437	2.09817351598174	2.18181818181818	0.961662861491629	0.00193047844977159	-0.6	-7.7
YBR146W	278	0.293906810035842	0.212121212121212	1.38556067588326	0.00180322561673399	-4.4	-17.6
YBR149W	344	0.539130434782609	0.181818181818182	2.96521739130435	0.00490379951463597	-4.6	-7
YBR151W	316	0.242902208201893	1.24242424242424	0.195506655382011	0.00027391380362608	-5.4	-11.7
YBR154C	215	1.68518518518519	2.3030303030303	0.73172514619883	0.00131904294486697	-0.2	-8.6
YBR157C	255	0.1484375	0.696969696969697	0.212975543478261	0.000278584263767094	-1.2	-13.7
YBR158W	549	0.212727272727273	0.696969696969697	0.305217391304348	0.000382217159232037	0	-4.8
YBR159W	347	0.71264367816092	1.15151515151515	0.618874773139746	0.000966000065531344	0	-15
YBR160W	298	0.290969899665552	0.515151515151515	0.564823922880189	0.000858965693862915	0	-5.9
YBR162C	455	1.83114035087719	0.696969696969697	2.62728832951945	0.00504992622750252	-0.6	-2.1
YBR162WA	65	2.48484848484848	2.66666666666667	0.931818181818182	0.00124257763515186	-2.2	NA
YBR164C	183	0.815217391304348	1.27272727272727	0.640527950310559	0.00094468166623541	-0.8	-8.4
YBR165W	277	0.143884892086331	0.393939393939394	0.36524626452684	0.000436521182481824	0	-16.1
YBR166C	452	0.198675496688742	0.484848484848485	0.40976821192053	0.000559271118913913	-2.2	-9.8
YBR170C	580	0.196213425129088	0.181818181818182	1.07917383820998	0.00135978155519453	0	-5.4
YBR171W	206	0.753623188405797	0.727272727272727	1.03623188405797	0.00153080684107519	-5.2	-10.3
YBR172C	740	0.149797570850202	0.272727272727273	0.549257759784076	0.000775233635989659	0	-9.9
YBR173C	148	1.0738255033557	0.272727272727273	3.93736017897092	0.00549549071044403	-0.8	-5.3
YBR177C	451	0.327433628318584	0.303030303030303	1.08053097345133	0.00155838601501826	-1.4	NA
YBR185C	278	0.121863799283154	0.181818181818182	0.670250896057348	0.000856915676851106	-1.3	-8.6
YBR187W	280	0.750889679715303	2.06060606060606	0.36440234456772	0.000564263060562239	-2.5	-13.6
YBR189W	195	27.530612244898	26.5454545454545	1.03711210511602	0.00353377734682644	0	-11.2
YBR192W	377	0.153439153439153	0.333333333333333	0.46031746031746	0.000647503754037714	-2.9	-14.3
YBR196C	554	10.4954954954955	3.90909090909091	2.6848941965221	0.00777015665231755	-0.3	NA
YBR197C	217	0.151376146788991	0.181818181818182	0.83256880733945	0.00097745739102252	-2.3	-17
YBR198C	798	0.166458072590738	0.242424242424242	0.686639549436796	0.000929856416188345	-6.7	-10
YBR199W	464	0.354838709677419	1.48484848484848	0.238973008558262	0.000299986803940983	-1.4	NA
YBR200W	551	0.121376811594203	0.272727272727273	0.445048309178744	0.000631183253601318	0	-6.9
YBR202W	845	0.130023640661939	0.272727272727273	0.476753349093775	0.000688206302824078	0	-10.3
YBR204C	375	0.0877659574468085	0.212121212121212	0.413753799392097	0.000500430401107969	-8	-11.5
YBR205W	404	0.42716049382716	0.878787878787879	0.486079182630907	0.00071101370460827	-0.3	-11.1
YBR207W	465	0.13519313304721	0.424242424242424	0.318669527896996	0.000407670864025149	-5.2	-10.6
YBR208C	1835	0.0359477124183007	0.181818181818182	0.197712418300654	0.00031124026797066	-1.4	NA
YBR220C	560	0.0659536541889483	0.636363636363636	0.103641456582633	0.000136359287517403	0	NA
YBR221C	366	1.84741144414169	1.78787878787879	1.03329792638433	0.00203369393308971	-1.1	NA
YBR230C	134	0.377777777777778	0.181818181818182	2.07777777777778	0.00293443298892726	0	-5
YBR231C	303	0.108552631578947	0.212121212121212	0.511748120300752	0.000573287324090307	-0.5	-8.7
YBR234C	384	0.615584415584416	0.272727272727273	2.25714285714286	0.00360334707346132	-0.3	-6.7
YBR236C	436	0.153318077803204	0.212121212121212	0.722785223929389	0.00107635815149956	0	-10.7
YBR237W	849	0.0388235294117647	0.212121212121212	0.183025210084034	0.000235152693381268	-4.2	NA
YBR242W	238	0.259414225941423	0.454545454545455	0.57071129707113	0.000761370325300513	0	-10.1
YBR243C	448	0.0935412026726058	0.333333333333333	0.280623608017817	0.000400623008530936	-0.9	-10.2
YBR244W	162	0.987730061349693	1.42424242424242	0.693512596266806	0.00120069066970509	0	NA
YBR246W	387	0.123711340206186	0.242424242424242	0.510309278350515	0.000651218696419921	-6	NA
YBR247C	483	0.40702479338843	0.181818181818182	2.23863636363636	0.00330740348588939	0	-7.7
YBR248C	552	0.338155515370705	0.393939393939394	0.858394769787175	0.00129488864470308	0	NA
YBR249C	370	2.8921832884097	1.84848484848485	1.56462374618886	0.00369011809366878	0	NA
YBR251W	307	0.185064935064935	0.454545454545455	0.407142857142857	0.000545198770779728	-0.6	NA
YBR252W	147	1.08108108108108	1.24242424242424	0.870138431114041	0.00141003845284512	-0.9	-9.3
YBR253W	121	0.270491803278689	0.545454545454545	0.495901639344262	0.00054768120391927	-0.9	NA
YBR254C	175	0.1875	0.303030303030303	0.61875	0.000814719717552431	0	-17.2
YBR256C	238	0.334728033472803	1.09090909090909	0.306834030683403	0.000445627599763741	-2.7	-12.4
YBR261C	232	0.399141630901288	0.181818181818182	2.19527896995708	0.00286230385503725	0	NA
YBR263W	490	1.10997963340122	0.666666666666667	1.66496945010183	0.00294006534141801	-0.4	-14.3
YBR265W	320	0.305295950155763	0.363636363636364	0.839563862928349	0.00111078665484172	-1.3	NA
YBR267W	393	0.446700507614213	0.606060606060606	0.737055837563452	0.00097398210424535	0	-15.3
YBR272C	480	0.108108108108108	0.212121212121212	0.50965250965251	0.00066642151140844	-1.7	-8.9
YBR273C	436	0.254004576659039	0.333333333333333	0.762013729977117	0.000997171996696973	-0.9	-10.6
YBR278W	201	0.163366336633663	0.242424242424242	0.673886138613861	0.000844735920407821	-4.4	NA
YBR279W	445	0.255605381165919	0.303030303030303	0.843497757847534	0.00130423074552305	-3.3	-9.8
YBR282W	146	0.306122448979592	0.484848484848485	0.631377551020408	0.000903788490875099	-3.3	-10.5
YBR283C	490	0.89816700610998	0.727272727272727	1.23497963340122	0.00229479187266603	0	NA
YBR286W	537	2.81598513011152	0.848484848484849	3.31883961763144	0.00659596098450426	0	NA
YBR288C	483	0.148760330578512	0.303030303030303	0.490909090909091	0.000650589097629579	0	-5.6
YBR290W	321	0.183229813664596	0.484848484848485	0.37791149068323	0.000480630530976234	-2.2	NA
YBR296C	574	0.0817391304347826	0.939393939393939	0.0870126227208976	0.000160220860549715	0	NA
YCL001W	188	0.740740740740741	1.06060606060606	0.698412698412698	0.00121466393778775	0	-8.8
YCL005WA	73	2.25675675675676	1.12121212121212	2.01278305332359	0.00250441395518361	0	NA
YCL009C	309	1.53225806451613	0.484848484848485	3.16028225806452	0.00490124443098585	-0.7	NA
YCL011C	427	0.691588785046729	0.666666666666667	1.03738317757009	0.00157824131466855	-1.9	NA
YCL017C	497	0.495983935742972	0.424242424242424	1.16910499139415	0.00187941438087886	0	-7.3
YCL025C	633	0.0741324921135647	0.181818181818182	0.407728706624606	0.000646476041236741	-0.8	-8.8
YCL028W	405	0.963054187192118	0.393939393939394	2.44467601364153	0.0036329076656538	-3.8	-11.3
YCL029C	440	0.111111111111111	0.212121212121212	0.523809523809524	0.000625788150897904	-0.9	-15.6
YCL030C	799	1.125	0.575757575757576	1.95394736842105	0.00319081210867908	-0.8	NA
YCL031C	297	0.379194630872483	1.24242424242424	0.305205434604682	0.000456609886183721	-3.8	-12.4
YCL033C	168	0.325443786982249	0.424242424242424	0.767117497886729	0.000937862319123496	0	NA
YCL034W	354	0.267605633802817	0.818181818181818	0.327073552425665	0.00034174928828497	-2.1	-10.6
YCL035C	110	1.59459459459459	0.515151515151515	3.09538950715421	0.00432377842389379	-1.5	NA
YCL037C	434	1.64137931034483	0.242424242424242	6.77068965517241	0.0118461978386867	0	-7.2
YCL043C	522	4.18738049713193	1.3030303030303	3.21357107919427	0.0062309262748477	0	-8.7
YCL045C	760	0.471747700394218	0.272727272727273	1.72974156811213	0.00238866934805817	0	NA
YCL050C	321	1.93167701863354	0.484848484848485	3.98408385093168	0.00748552305941412	0	-3.2
YCL054W	841	0.439429928741093	0.242424242424242	1.81264845605701	0.00334542340611952	-2.6	NA
YCL055W	335	0.139880952380952	0.575757575757576	0.242951127819549	0.000336909720088812	0	NA
YCL057CA	97	0.663265306122449	0.666666666666667	0.994897959183673	0.00156254221311178	0	NA
YCL057W	712	0.335203366058906	0.242424242424242	1.38271388499299	0.00218982394034736	-0.8	-12.3
YCL058WA	113	0.298245614035088	0.424242424242424	0.703007518796992	0.000888906726203716	-0.8	NA
YCL059C	316	0.892744479495268	0.515151515151515	1.73297457784376	0.00281176492029909	-1	-8.7
YCL064C	360	1.80886426592798	1.21212121212121	1.49231301939058	0.00226352229189051	0	-9.1
YCR002C	322	0.476780185758514	0.363636363636364	1.31114551083591	0.0019276453563989	0	NA
YCR003W	183	0.282608695652174	0.939393939393939	0.300841514726508	0.000488798966049885	0	-13.8
YCR004C	247	1.37903225806452	1.21212121212121	1.13770161290323	0.00179038354782851	0	NA
YCR005C	460	0.93058568329718	11.2121212121212	0.0829981825643431	0.000127394810232839	-0.9	NA
YCR008W	603	0.112582781456954	0.212121212121212	0.530747398297067	0.000713296019487027	0	NA
YCR009C	265	0.93609022556391	1	0.93609022556391	0.00147077313493601	-0.5	-9
YCR011C	1049	0.168571428571429	0.242424242424242	0.695357142857143	0.000947457869603842	0	-6.9
YCR012W	416	66.9976019184652	20.6666666666667	3.24181944766767	0.0106409095481534	0	NA
YCR016W	290	0.463917525773196	0.666666666666667	0.695876288659794	0.000977670677610875	-1.2	NA
YCR020WB	78	0.860759493670886	0.939393939393939	0.916292364230298	0.00110954101427088	0	NA
YCR024CA	40	23.609756097561	3.42424242424242	6.89488452406648	0.020261644264255	0	NA
YCR026C	742	0.0901749663526245	0.363636363636364	0.247981157469717	0.000322845364278615	-3.8	-9.9
YCR028CA	135	2.41176470588235	0.848484848484849	2.84243697478992	0.00641872324707447	0	NA
YCR033W	1226	0.06519967400163	0.212121212121212	0.30736989172197	0.000401394784640952	0	NA
YCR034W	347	1.00574712643678	0.424242424242424	2.37068965517241	0.00384211154164295	-3.4	-9.3
YCR035C	394	0.240506329113924	0.606060606060606	0.396835443037975	0.000591473763150329	-1.2	-6.9
YCR036W	333	0.224550898203593	0.606060606060606	0.370508982035928	0.000506498293296091	0	NA
YCR037C	923	0.0476190476190476	0.212121212121212	0.224489795918367	0.000319364496356629	-5.5	NA
YCR043C	127	0.8125	0.484848484848485	1.67578125	0.00235992121309436	-0.9	-11.7
YCR044C	357	0.114525139664804	0.545454545454545	0.209962756052142	0.000276705241087551	-1.2	-16.2
YCR046C	169	0.288235294117647	0.181818181818182	1.58529411764706	0.00167402355910797	-4.1	-21.4
YCR047C	275	0.253623188405797	0.454545454545455	0.557971014492754	0.000571306075695215	0	NA
YCR048W	610	0.101472995090016	0.272727272727273	0.372067648663393	0.000409796138754927	-1.8	-15.5
YCR051W	222	0.62780269058296	0.303030303030303	2.07174887892377	0.00284983007234224	-2.2	-15.4
YCR052W	483	0.233471074380165	0.272727272727273	0.856060606060606	0.0010703609704558	-0.7	-14.3
YCR053W	514	2.63106796116505	0.878787878787879	2.99397388684299	0.00658091392086105	-0.6	-5.6
YCR057C	923	0.192640692640693	0.242424242424242	0.794642857142857	0.00112442624427951	-0.3	-6.9
YCR059C	258	0.142857142857143	0.242424242424242	0.589285714285714	0.000768385403932469	-1.3	NA
YCR067C	1065	0.149155722326454	0.181818181818182	0.820356472795497	0.00109218376736764	0	-10.9
YCR069W	318	0.341692789968652	0.181818181818182	1.87931034482759	0.00265230814571435	-2.5	NA
YCR071C	146	0.36734693877551	0.242424242424242	1.51530612244898	0.00181050367191211	-3.1	-20
YCR072C	515	0.217054263565891	0.272727272727273	0.795865633074935	0.00111017644698757	0	NA
YCR077C	796	0.373902132998745	0.303030303030303	1.23387703889586	0.00177822721627128	-2.3	NA
YCR082W	128	0.713178294573643	0.909090909090909	0.784496124031008	0.00107422145142495	-5.9	NA
YCR083W	127	0.3515625	0.393939393939394	0.892427884615385	0.00120778123868368	-2.8	-20.3
YCR087CA	153	0.896103896103896	0.575757575757576	1.55639097744361	0.0017104312754359	-0.5	NA
YCR090C	182	0.306010928961749	0.96969696969697	0.315573770491803	0.000454291639436814	0	NA
YCR093W	2108	0.176861071597914	0.181818181818182	0.972735893788525	0.00139590872967425	-1.5	-10.1
YCR095C	362	0.107438016528926	0.484848484848485	0.221590909090909	0.000294508623475753	-1.6	NA
YCR097W	126	0.503937007874016	1.36363636363636	0.369553805774278	0.000502715533565696	0	NA
YDL001W	430	0.0974477958236659	0.333333333333333	0.292343387470998	0.000375332315635809	0	-5.1
YDL002C	203	0.284313725490196	0.454545454545455	0.625490196078431	0.000708768643284578	0	NA
YDL003W	566	0.192239858906526	0.333333333333333	0.576719576719577	0.000768395822968421	0	NA
YDL004W	160	1.40993788819876	0.515151515151515	2.73693825356229	0.0048368318764962	-2.6	-10.9
YDL005C	431	0.189814814814815	0.272727272727273	0.695987654320988	0.000977959070465013	0	-14
YDL006W	281	0.202127659574468	0.424242424242424	0.47644376899696	0.000663262077469705	0	NA
YDL007W	437	0.993150684931507	0.757575757575758	1.31095890410959	0.00185434358007565	-0.9	-6.2
YDL010W	231	0.25	0.303030303030303	0.825	0.00101316471057135	-0.2	NA
YDL012C	107	0.574074074074074	0.272727272727273	2.10493827160494	0.00231997319152305	0	-5.3
YDL014W	327	3.66768292682927	1.72727272727273	2.12339537869063	0.00574976863433118	0	NA
YDL015C	310	1.08360128617363	0.878787878787879	1.23306353254241	0.00212468955352159	0	-10
