,gene,experimental translation rate per transcript [s^-1],modelled translation rate [s^-1],transcript abundance,initiation rate [s^-1],ORF length [nts],CAI
66,YNL277W,0.0377950345343,0.0454815107772,1.0,1.43105265255e-06,1461.0,0.700325184525
67,YMR040W,0.116632411067,,,,483.0,0.677234646292
68,YDR077W,0.252792401895,,,,1017.0,0.813063753475
69,YMR266W,0.0811442157423,0.261024322721,8.0,9.24369928611e-07,2862.0,0.779123539472
70,YKR064W,0.0405082678638,0.0172321252013,1.0,4.22252227158e-07,2592.0,0.744894940273
71,YPL089C,0.0302777852379,0.0276843978644,1.0,7.12381426287e-07,2031.0,0.718420844739
72,YGR277C,0.126440922295,0.147740112994,3.0,1.38743191766e-06,918.0,0.689122535815
73,YDL139C,0.13224952346,0.0824858757063,1.0,2.11689905344e-06,672.0,0.677338179132
74,YDR246W,0.164952520661,0.125423728814,2.0,2.09371069061e-06,660.0,0.671691552739
75,YOR288C,0.263267569108,0.112429378531,2.0,1.73322858917e-06,957.0,0.722632295675
76,YCR028C,0.0681165455727,0.0700584762282,2.0,9.49914888309e-07,1539.0,0.728036658444
77,YML054C,0.0102487885613,,,,1776.0,0.764437777956
78,YLR179C,0.201948174817,2.77655367232,32.0,2.54731585292e-06,606.0,0.678654132641
79,YOR141C,0.0869893653084,0.127969716659,3.0,1.29969469737e-06,2646.0,0.742870986682
80,YPL280W,0.0749961802903,,,,714.0,0.717052395382
81,YBL106C,0.033794319056,0.0225995084607,1.0,5.40904614306e-07,3033.0,0.732846268831
82,YGR073C,0.289852476377,,,,372.0,
83,YER107C,0.141339184192,0.222033898305,4.0,1.54908030416e-06,1098.0,0.740369515304
84,YBR038W,0.0717478299593,0.237577332693,5.0,1.30831975363e-06,2892.0,0.747276889633
85,YGR259C,0.488775235347,,,,441.0,
86,YEL047C,0.163281187673,0.790112994351,11.0,2.09686320341e-06,1413.0,0.750189085562
87,YPR016C,0.140242912869,1.72259887006,19.0,2.71459116657e-06,738.0,0.78566368138
88,YLR157C,0.0466345883073,,,,1089.0,0.729645626942
89,YDL055C,0.164363078297,17.9564971752,127.0,4.19753567309e-06,1086.0,0.819414523989
90,YML009C,0.113156209987,0.79465521625,11.0,2.25384003299e-06,213.0,0.708883336723
91,YML072C,0.0482942242607,0.700867256138,21.0,9.52971240482e-07,4638.0,0.772058572108
92,YDR142C,0.0177001396948,0.0370056497175,1.0,1.04404502429e-06,1128.0,0.72840177966
93,YFL044C,0.164800622115,0.191807909605,3.0,1.80658942755e-06,906.0,0.705397657112
94,YKL019W,0.0741698690374,0.165254237288,5.0,9.20800858869e-07,951.0,0.660541220739
95,YJL130C,0.034039403972,1.86248199102,34.0,1.56092798446e-06,6645.0,0.797989482341
96,YBL085W,0.0209112223149,0.0858781321507,3.0,8.35656575516e-07,2943.0,0.735826497153
97,YFL011W,0.0662508799143,,,,1641.0,0.739784823261
98,YDR166C,0.00679435299497,0.0734484024973,2.0,9.59903734842e-07,2916.0,0.757388107322
99,YDR082W,0.0108440567289,0.00932229724004,1.0,1.6968068254e-07,1485.0,0.724432920967
100,YDR348C,0.104297737374,0.213276836158,4.0,1.64948759319e-06,1500.0,0.732336344542
101,YKL182W,0.0585569535511,3.97977343993,73.0,1.5652126335e-06,6156.0,0.809268887853
102,YDR445C,0.234961601307,,,,408.0,
103,YPL027W,0.154439406258,,,,738.0,0.731961083004
104,YKL135C,0.0410312422714,0.141811915591,4.0,1.02047188259e-06,2181.0,0.758811412732
105,YLR363C,0.151155477146,0.215254237288,3.0,2.12800023745e-06,657.0,0.80665294553
106,YDR179C,0.227218510256,0.0754237288136,2.0,1.11935843194e-06,489.0,0.743466758014
107,YLR431C,0.0478596983046,,0.0,6.00956669729e-07,1362.0,0.693623542274
108,YKR046C,0.149165777493,0.122316384181,2.0,1.74480255136e-06,852.0,0.682952674442
109,YJR005W,0.00943625988847,0.0954829232465,3.0,8.11096557593e-07,2103.0,0.743143506722
110,YJL116C,0.0588968083199,,0.0,1.75313229651e-06,1014.0,0.775318986652
111,YER030W,0.259569508752,1.96333229752,12.0,4.91868995114e-06,462.0,0.787128246575
112,YHR041C,0.157406643724,0.137005649718,5.0,7.42417176451e-07,633.0,0.551027613345
113,YJR072C,0.220395527817,0.548587570622,8.0,1.983527705e-06,1158.0,0.691966895673
114,YDR047W,0.138579820241,0.323446327684,6.0,1.44867081696e-06,1089.0,0.706311873765
115,YKR039W,0.0358097894367,0.0420903954803,1.0,1.43637221164e-06,1809.0,0.775768390159
116,YGL003C,0.0508825468085,0.0228820023165,1.0,7.18569514647e-07,1701.0,0.714469805025
117,YPL009C,0.0722809908517,,,,3117.0,0.756264502155
118,YDR268W,0.179702546518,0.0725988700565,2.0,1.08146017828e-06,1140.0,0.731309820106
119,YGL192W,0.00914941427587,,,,1803.0,0.720783049086
120,YDL117W,0.0433165811615,0.0649735868245,3.0,6.52907627733e-07,2658.0,0.750110545435
121,YMR131C,0.0926711450442,,,,1536.0,0.780953695358
122,YJL214W,0.0316621477937,,,,1710.0,0.758703554757
123,YIL105C,0.0535962257216,0.0901155399871,2.0,1.13907922801e-06,2061.0,0.746999127947
124,YML126C,0.160552942022,3.23192090396,34.0,3.14451204821e-06,1476.0,0.807568285216
125,YLR189C,0.028480849361,0.0347467442583,2.0,4.50911889056e-07,3597.0,0.740288134333
126,YLR349W,0.130036758114,,,,507.0,
127,YHL046C,0.0521792303197,,,,363.0,0.757045238846
128,YBR212W,0.125876080268,0.152829175966,3.0,1.4261966954e-06,2019.0,0.714847184415
129,YJR109C,0.0586926115489,0.449447724512,7.0,1.94033031804e-06,3357.0,0.79409648655
130,YLR254C,0.0387583732057,0.0443502824859,1.0,1.1520109645e-06,570.0,0.693252748366
131,YGR085C,0.239842695527,,,,525.0,0.809269581686
132,YPL105C,0.0365434355318,0.135314556908,4.0,9.59683884841e-07,2550.0,0.740874054989
133,YGR145W,0.1018528805,0.320056497175,5.0,1.73786574176e-06,2124.0,0.773636785541
134,YJR094C,0.0619050616973,,0.0,1.87375998425e-06,1083.0,0.793234351371
135,YBR129C,0.105008225108,0.0853107344633,3.0,8.45332549426e-07,987.0,0.742983990277
136,YDL215C,0.00530059977635,0.122602333399,3.0,1.20490791383e-06,3279.0,0.774170990318
137,YKL099C,0.133837778564,0.419209039548,6.0,2.16287645083e-06,753.0,0.713383109723
138,YDR315C,0.0773994197292,0.0189265536723,1.0,5.92241625638e-07,846.0,0.742170493268
139,YLR394W,0.0432534663404,,,,1449.0,0.730892208336
140,YNL104C,0.135141104594,1.43531073446,23.0,1.86352099265e-06,1860.0,0.762986869109
141,YNL151C,0.0943345358345,0.428531073447,5.0,2.6737432717e-06,756.0,0.757137453434
142,YNR066C,0.0432669717773,,0.0,4.21858532044e-07,1311.0,0.747307798236
143,YKL052C,0.0226636329162,0.120621468927,3.0,9.8178886266e-07,879.0,0.655741911578
144,YHR006W,0.0126537142644,0.0974576271187,2.0,1.32799124517e-06,1626.0,0.715549847229
145,YMR232W,0.0302727272727,,,,2034.0,0.747879770942
146,YNL083W,0.0119188654219,0.0282493855759,1.0,7.33388514991e-07,1485.0,0.70395371224
147,YMR238W,0.19030181114,0.287853107345,5.0,1.62686304261e-06,1377.0,0.767978903846
148,YER168C,0.0830729230144,0.162146892655,4.0,1.18811538015e-06,1641.0,0.73611822437
149,YPL265W,0.00919327926224,0.777118644068,13.0,1.74614041557e-06,1827.0,0.760868557668
150,YOR227W,0.0259535345435,0.0274019040086,2.0,3.24868537822e-07,3741.0,0.746421514735
151,YOR081C,0.0279741414141,0.0607361789881,2.0,7.77600905409e-07,2250.0,0.69226986904
152,YEL026W,0.201026723932,7.48862962231,50.0,4.58266865646e-06,381.0,0.846048511056
153,YGR050C,0.284740370087,,,,357.0,0.664466606305
154,YDR021W,0.0798017272727,0.0680790960452,1.0,1.7323965469e-06,1200.0,0.777434106308
155,YGL063W,0.0150261373846,,0.0,3.0727284088e-07,1113.0,0.577779835661
156,YPL212C,0.0799972013715,0.352542372882,6.0,1.71624546704e-06,1635.0,0.748303765143
157,YOL157C,0.0483635713063,,,,1770.0,0.747301750913
158,YOR345C,0.238500146767,,,,351.0,
159,YPR095C,0.0263341302182,0.0155371620667,1.0,3.53345114306e-07,3681.0,0.724819282923
160,YOR310C,0.107672506313,3.65988700565,32.0,3.32668959832e-06,1536.0,0.823142788349
161,YDR188W,0.152084713682,1.31581920904,23.0,1.62392660482e-06,1641.0,0.677123413664
162,YAL027W,0.0821173953273,0.0378531073447,1.0,1.11085390039e-06,786.0,0.714134435519
163,YGL236C,0.0251192959002,0.0217520268934,1.0,5.35782062832e-07,2010.0,0.661102296066
164,YHR133C,0.130056908122,0.644632768362,12.0,1.56703819209e-06,876.0,0.751785362867
165,YDR541C,0.0548964426877,0.0466101694916,2.0,5.90302050304e-07,1035.0,0.769115600132
166,YAR061W,0.754957070707,,,,1006.0,
167,YIL090W,0.0391516383346,0.0957627118645,4.0,7.04122249918e-07,1476.0,0.728897124091
168,YBR183W,0.0664936430552,0.0545197740113,2.0,7.25097925039e-07,951.0,0.703616065657
169,YOL048C,0.234110733503,0.0186440677966,1.0,5.89285238411e-07,1029.0,0.72806766568
170,YML039W,0.0125240601115,,,,5268.0,0.737926610394
171,YCR007C,0.0863412878788,,0.0,5.82594730478e-07,720.0,0.761422292337
172,YGR290W,0.233577682228,,,,444.0,
173,YEL004W,0.141247577819,0.0406779661017,1.0,1.28707988027e-06,1029.0,0.71003455218
174,YPR057W,0.0198415440959,0.0338983050848,2.0,5.19968481075e-07,1026.0,0.693995873559
175,YLL032C,0.0389727443931,0.0418090906523,1.0,1.00593397051e-06,2478.0,0.757253857459
176,YDR116C,0.126384915589,0.187005649718,3.0,1.88102687339e-06,858.0,0.740859132554
177,YHR130C,0.193750541126,,,,336.0,
178,YLR030W,0.0192879935721,,,,792.0,0.702201215595
179,YDR122W,0.071963855456,0.107065171333,4.0,7.01821542586e-07,3195.0,0.723454202161
180,YOL062C,0.0433229859571,0.0813582304585,4.0,5.54311812838e-07,1476.0,0.71312269706
181,YNL234W,0.062635980413,,0.0,6.32954048501e-07,1281.0,0.73360114978
182,YLR467W,0.00325473994255,,,,5391.0,0.653884887222
183,YJL194W,0.00857092324018,0.0607361789881,2.0,8.41374147259e-07,1542.0,0.711498652226
184,YDL070W,0.0713971008994,0.266109212125,9.0,8.24057040572e-07,1917.0,0.752955847208
185,YOR241W,0.0888347408511,0.195480225989,5.0,1.18852631049e-06,1647.0,0.732729814324
186,YLR056W,0.243523483469,2.67824858757,44.0,1.70601009302e-06,1098.0,0.719811860011
187,YPR039W,0.335452750722,,,,336.0,
188,YKL110C,0.101761667632,0.171468926554,4.0,1.29962525355e-06,942.0,0.70207483493
189,YML100W-A,0.28374922865,,,,174.0,0.642741542492
190,YNL255C,0.16146497442,4.75691403712,39.0,3.65144426546e-06,462.0,0.79191529365
191,YLR204W,0.214701569264,0.3,5.0,1.76881166824e-06,336.0,0.664387903245
192,YML097C,0.0159137615089,0.090395480226,2.0,1.30933691786e-06,1356.0,0.725424300674
193,YKR007W,0.118960687961,0.14604519774,4.0,1.04813202753e-06,555.0,0.674424673145
194,YDL096C,0.942665554629,,,,327.0,
195,YHR193C,0.23433752381,23.5924743637,108.0,6.91227242301e-06,525.0,0.787071806625
196,YBL099W,0.16948020868,3.47740112995,33.0,3.09495578389e-06,1638.0,0.825045628626
197,YJR035W,0.0190973268598,0.0237294838837,1.0,6.1368482153e-07,3258.0,0.720983399016
198,YMR023C,0.0440031625553,,0.0,4.3439024856e-07,1581.0,0.721806342063
199,YOR119C,0.106274622514,0.129378531074,2.0,1.83118747426e-06,1455.0,0.774996208659
200,YNL187W,0.0155694373907,,,,1074.0,0.634950805868
201,YMR141C,0.345555320192,,,,309.0,
202,YLL014W,0.234052543786,0.687025057205,13.0,1.56009141991e-06,327.0,0.704619955847
203,YBL062W,0.266012598425,,,,381.0,
204,YCR061W,0.187480884797,0.239554789683,4.0,1.74762251099e-06,1896.0,0.623050229453
205,YOR199W,0.291964086318,,,,330.0,
206,YPR115W,0.0305729928436,0.0361592135371,3.0,2.99155838125e-07,3252.0,0.724280123511
207,YHR088W,0.171736008736,0.359604519774,3.0,3.79267622273e-06,888.0,0.749234058177
208,YBR017C,0.0882305151625,0.314133167604,9.0,9.83788955897e-07,2757.0,0.7418918204
209,YPR162C,0.10405932914,0.0788157857567,2.0,1.02150939569e-06,1590.0,0.733935473227
210,YGR166W,0.056130976431,0.0282493855759,1.0,7.58128554037e-07,1683.0,0.732047407827
211,YKL050C,0.0235684034276,,,,2769.0,0.727334098177
212,YJR055W,0.131201836547,0.0824858757063,1.0,2.58541526984e-06,495.0,0.769008928792
213,YGL099W,0.123519502356,0.541525423729,8.0,1.92898657772e-06,1923.0,0.785414819409
214,YFL030W,0.0493951169728,,,,1158.0,0.675325967882
215,YIL119C,0.0781210932858,0.0725988700565,2.0,1.13953030291e-06,1224.0,0.777974430575
216,YPL193W,0.0584342376646,0.0497175141243,2.0,7.88505924924e-07,1146.0,0.762404195491
217,YNL005C,0.0932985988921,0.181355932204,5.0,1.0310948364e-06,1116.0,0.733208698996
218,YGL217C,0.214283625731,,,,342.0,
219,YBR012W-B,0.0124832218237,,,,5271.0,0.736627837564
220,YLR379W,0.67465510303,,,,375.0,
221,YJR139C,0.173570145903,5.80621468927,51.0,3.36360947466e-06,1080.0,0.834848978437
222,YBR133C,0.0408848741034,0.0641261052573,4.0,4.44551727318e-07,2484.0,0.70214784069
223,YBR162C,0.195921114655,3.47401129944,41.0,2.58075135722e-06,1368.0,0.803170056713
224,YJL079C,0.174870606061,0.36384180791,3.0,4.14535655222e-06,900.0,0.758521885032
225,YGL019W,0.13413130589,0.393502824859,8.0,1.44206071416e-06,837.0,0.686122104105
226,YGR201C,0.016557318641,0.0237294838837,2.0,3.61750765345e-07,678.0,0.690602275241
227,YNL172W,0.0214662404491,0.0121468926554,1.0,3.76945029962e-07,5247.0,0.72785742025
228,YNL058C,0.119018742631,,,,951.0,0.747947754136
229,YPL160W,0.0706137192271,3.20574027515,43.0,2.14387383121e-06,3273.0,0.801978790078
230,YNL023C,0.156295476504,0.0370066951044,2.0,5.87505376234e-07,2898.0,0.737294938323
231,YDR214W,0.172660824772,1.09548022599,15.0,2.11695661215e-06,1053.0,0.698075743275
232,YLR222C,0.0766484515077,0.283906325038,6.0,1.29277983615e-06,2454.0,0.776328424337
233,YLR295C,0.273408589899,0.914150117236,9.0,3.22754109723e-06,375.0,0.783015135025
234,YHR168W,0.0103511717172,0.0268369162971,1.0,7.57339373608e-07,1557.0,0.700900323374
235,YOR064C,0.0274312213039,0.0194915254237,1.0,5.4630032693e-07,660.0,0.701656554441
236,YOR159C,0.416590409357,0.429673154609,4.0,3.3577954845e-06,285.0,0.702221659459
237,YOL081W,0.0117376534829,0.0310734463277,4.0,2.20729207452e-07,9240.0,0.734922936487
238,YOL036W,0.0447055741138,0.0471764739117,3.0,4.67284208215e-07,2286.0,0.702892173887
239,YGL148W,0.149818530129,2.40197740113,31.0,2.33717430383e-06,1131.0,0.737913518623
240,YOR031W,0.491157460317,,,,210.0,0.750581073826
241,YBR282W,0.257548244348,0.382779174553,5.0,2.34358321775e-06,441.0,0.730885639458
242,YDR194C,0.0292428799271,0.356497175141,11.0,9.00396597066e-07,1995.0,0.786388236434
243,YOL114C,0.113857441409,,0.0,7.43904682338e-07,609.0,0.713997392593
244,YNL257C,0.0155865730475,0.0257069408741,2.0,3.42668723633e-07,3690.0,0.733226343901
245,YNR030W,0.156083763358,0.226553672317,5.0,1.26148817395e-06,1656.0,0.7505004887
246,YKL076C,0.0581556186869,,,,384.0,
247,YDR466W,0.0205532746823,0.0440690414984,2.0,6.18692556508e-07,2697.0,0.730681048718
248,YFR045W,0.272667005248,0.0556497175142,1.0,1.54141800056e-06,930.0,0.724765191136
249,YIL002C,0.0347502618583,0.0333342749795,2.0,4.68122180507e-07,2841.0,0.730551519852
250,YGR159C,0.103334379944,3.82457627119,26.0,4.34571218945e-06,1245.0,0.808810148357
251,YGL089C,0.150774104683,,,,363.0,0.740734322664
252,YFR032C,0.0135305120167,,,,870.0,0.677644577831
253,YNL118C,0.0689564460257,0.228537529309,6.0,1.12339073123e-06,2913.0,0.751559291415
254,YGL228W,0.149262774807,0.424576271187,9.0,1.35651788538e-06,1734.0,0.719313410507
255,YJR117W,0.194833273261,0.543502824859,10.0,1.66478654962e-06,1362.0,0.745480931719
256,YLR357W,0.0215643173306,0.125144778101,3.0,1.17392640437e-06,2670.0,0.738508490114
257,YER127W,0.0189644489589,0.268079096045,5.0,1.62969282776e-06,1074.0,0.713954338276
258,YBL015W,0.147323780499,0.137005649718,2.0,2.0076317873e-06,1581.0,0.719277880147
259,YLR017W,0.109329006037,0.585310734464,9.0,1.92294251158e-06,1014.0,0.72874142606
260,YHR110W,0.116301465358,0.207627118644,6.0,9.48752053414e-07,639.0,0.69590049269
261,YOR394W,0.119129843893,,,,495.0,0.797169728748
262,YCR044C,0.219102138705,0.158192090396,5.0,9.71352554352e-07,1074.0,0.699578691025
263,YDL039C,0.272622100313,,,,2097.0,0.762311875799
264,YKL202W,0.154979110695,,,,582.0,
265,YOR264W,0.0140401228058,0.317514124294,6.0,1.41967760554e-06,1293.0,0.737102248834
266,YGR184C,0.0184281104225,0.112715048448,6.0,5.31871852222e-07,5853.0,0.756360279255
267,YNL275W,0.0315812194738,0.0211870391819,1.0,6.20922849166e-07,1731.0,0.710312150143
268,YAR015W,0.165229526536,1.28785310735,15.0,2.61960703837e-06,921.0,0.733935102876
269,YOR384W,0.00799473875445,,0.0,4.65048111371e-07,2085.0,0.677083400702
270,YLL051C,0.0231113944494,0.0533913387384,3.0,4.5094565671e-07,2139.0,0.690297000987
271,YDR427W,0.0869407219402,0.66384180791,10.0,1.93957996193e-06,1182.0,0.796456201617
272,YLR408C,0.188440502587,0.0550847457627,1.0,1.70831385138e-06,369.0,0.693306570197
273,YMR093W,0.0120284950674,0.231355932204,5.0,1.32427342106e-06,1542.0,0.74303479481
274,YKR066C,0.162943858474,0.594067796611,11.0,1.66727647187e-06,1086.0,0.689433031878
275,YDR079W,0.324737445887,0.158761546936,2.0,2.43060663563e-06,336.0,0.740082201142
276,YMR268C,0.0726377505391,0.0338992626911,1.0,9.79786299263e-07,1335.0,0.723645501581
277,YOR169C,0.5323914174,,,,465.0,
278,YML070W,0.148816557023,0.972033898306,11.0,2.61713814127e-06,1755.0,0.771923676191
279,YPR072W,0.0644234015737,0.420056497175,7.0,1.6637789829e-06,1683.0,0.763131114958
280,YMR108W,0.115999298215,2.22570621469,29.0,2.24771634933e-06,2064.0,0.774281966332
281,YCR091W,0.0290956163578,,0.0,8.2219096223e-07,2163.0,0.718575935174
282,YER062C,0.223895770454,1.28079096045,12.0,3.2935431843e-06,753.0,0.75826106498
283,YDR244W,0.0823432860415,0.0751433656318,2.0,1.18716338069e-06,1839.0,0.728570050307
284,YER189W,0.117313624045,,,,369.0,0.707528665572
285,YJL009W,0.804043869892,,,,327.0,
286,YDL137W,0.226422460872,,,,546.0,0.768581960494
287,YGR271W,0.0108074186992,0.07260092093,3.0,6.87636599789e-07,5904.0,0.760273969679
288,YDR233C,0.279211066749,3.35988700565,32.0,3.12411635023e-06,888.0,0.809052042633
289,YGR071C,0.0363633958634,0.0276843978644,1.0,6.23364546338e-07,2583.0,0.738989914438
290,YER109C,0.0266718181818,,,,2400.0,0.726125006767
291,YDR489W,0.0795158705701,0.0454802259887,1.0,1.22035252085e-06,885.0,0.723443090298
292,YPL282C,0.038742822161,,,,495.0,0.797169728748
293,YPR049C,0.0173829131005,0.0209045453262,1.0,5.80793142738e-07,3537.0,0.741548632847
294,YDL057W,0.152127014829,0.0593220338983,1.0,1.46193720278e-06,987.0,0.720674153994
295,YPR014C,0.313999706152,,,,330.0,
296,YGR257C,0.016809236782,0.0474576271187,4.0,3.12947074621e-07,1101.0,0.691609267086
297,YEL045C,0.241761808223,,,,426.0,
298,YPL235W,0.174641183017,0.747457627119,9.0,2.51748548698e-06,1416.0,0.782936585874
299,YLR122C,0.148707792208,,,,378.0,
300,YLR155C,0.00982750368701,,,,1089.0,0.729645626942
301,YBL087C,0.284034779116,,,,414.0,0.808936398545
302,YGL190C,0.0363631188546,0.195480225989,5.0,1.16803147834e-06,1581.0,0.758526990403
303,YBR110W,0.17469701459,0.139265536723,4.0,9.91674969371e-07,1350.0,0.747144941855
304,YDR144C,0.0395417491498,0.304810870364,8.0,1.06994225233e-06,1791.0,0.739349305111
305,YFL046W,0.114977418415,0.157344632768,3.0,1.49748711824e-06,624.0,0.734511823886
306,YOR103C,0.292922026232,0.780813017317,8.0,2.88893594502e-06,393.0,0.773263965167
307,YKL137W,0.232493006993,0.381084211419,5.0,2.41078116728e-06,336.0,0.742783235137
308,YDR447C,0.185718887908,,,,411.0,0.830990522107
309,YAL061W,0.185857360688,0.0754237288136,1.0,2.20568236765e-06,1254.0,0.682896813333
310,YNL324W,0.183376721763,,,,396.0,
311,YPR145W,0.132451804255,3.13361581921,36.0,2.548840135e-06,1719.0,0.777779836237
312,YJL063C,0.158169570179,0.203107344633,4.0,1.52387757664e-06,717.0,0.61968974403
313,YPL021W,0.286176713948,,,,564.0,0.71409197335
314,YDR331W,0.117121285672,0.175423728814,4.0,1.33249126203e-06,1236.0,0.72903920126
315,YML056C,0.0755973888633,1.90621468927,30.0,1.77349737996e-06,1575.0,0.821376251826
316,YKR044W,0.079451983802,0.0194920760474,1.0,5.3108482875e-07,1332.0,0.671694577108
317,YLR433C,0.13791208657,0.160451977401,3.0,1.5378436888e-06,1662.0,0.745751895516
318,YMR068W,0.0154401627516,,0.0,6.16368048323e-07,1281.0,0.65533214268
319,YFL068W,0.123645774515,,,,483.0,0.604614336376
320,YER032W,0.0527842790759,0.0333342749795,1.0,8.44420089544e-07,2631.0,0.745648797906
321,YJR070C,0.166154024912,3.0802259887,23.0,3.92943579168e-06,978.0,0.775008321921
322,YGL005C,0.082125974026,0.100564971751,3.0,9.92949342436e-07,840.0,0.759704675917
